# Distance = 16.9 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.49	211.00	40.10	-2.73	73.25	233.76	0.09	3509.72	10533.68
0.98	233.00	17.40	-5.50	130.47	272.92	0.47	2885.72	1394.20
1.47	227.00	14.40	-7.87	176.15	246.78	1.23	2383.47	5.62
1.97	234.00	10.80	-9.29	213.53	213.16	2.16	1967.84	0.00
2.46	245.00	7.67	-9.67	244.19	190.74	3.10	1571.81	0.00
2.95	244.00	23.30	-8.81	261.92	174.18	3.65	1161.80	0.00
3.44	261.00	23.30	-7.54	273.58	161.30	4.00	867.89	0.00
3.93	259.00	22.70	-5.26	276.35	150.91	4.31	643.49	0.00
4.42	258.00	22.70	3.22	276.95	142.30	4.56	560.73	0.00
4.92	258.00	22.50	7.76	278.94	134.88	4.77	482.38	0.00
5.74	261.00	22.40	13.38	282.26	124.87	5.11	387.42	0.00
6.56	263.00	22.40	19.04	284.36	116.81	5.12	278.87	0.00
7.37	264.00	22.30	23.97	281.37	110.20	4.69	208.81	0.00
8.19	265.00	22.20	27.92	279.15	104.54	3.94	169.08	0.00
9.01	265.00	22.20	30.72	277.43	99.67	2.92	124.55	0.00
9.83	264.00	22.00	31.85	272.48	95.42	1.74	80.70	0.00
10.65	264.00	21.90	31.03	264.23	91.67	0.80	49.29	0.00
11.47	265.00	22.00	29.31	254.87	88.34	0.21	31.13	0.00
