# Distance = 2.08 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.91	33.10	3.90	-3.46	31.54	0.00	1.80	90.50	0.00
1.36	46.70	2.70	-4.25	37.57	0.00	2.23	67.25	0.00
1.82	53.90	4.70	-3.95	42.09	0.00	2.74	53.80	0.00
2.27	58.80	2.50	1.87	46.16	0.00	3.01	41.88	0.00
2.72	65.60	2.60	5.60	48.36	0.00	2.99	31.96	0.00
3.17	70.80	2.70	6.79	49.77	0.00	2.70	24.71	0.00
3.63	82.10	4.90	7.00	50.49	0.00	2.67	18.99	0.00
4.08	84.10	6.60	7.66	50.65	0.00	2.79	14.68	0.00
4.54	83.40	6.20	9.56	50.39	0.00	2.89	11.28	0.00
4.99	81.50	2.70	10.70	49.84	0.00	2.75	8.72	0.00
5.45	80.80	4.00	11.36	49.05	0.00	2.82	6.70	0.00
5.90	82.80	12.40	12.75	48.12	0.00	3.06	5.18	0.00
6.36	88.20	11.70	16.00	47.07	0.00	3.25	3.98	0.00
6.81	88.50	8.50	19.23	45.98	0.00	3.04	3.08	0.00
7.26	88.40	8.90	21.53	44.86	0.00	2.47	2.38	0.00
7.71	88.20	10.80	22.42	43.73	0.00	1.86	1.84	0.00
8.17	89.50	3.10	22.22	42.59	0.00	1.35	1.41	0.00
8.62	89.70	9.50	21.64	41.50	0.00	1.06	1.09	0.00
9.07	93.70	7.30	21.24	40.45	0.00	0.93	0.84	0.00
9.53	97.00	5.70	21.00	39.42	0.00	0.70	0.65	0.00
9.96	96.20	1.50	20.20	38.49	0.00	0.53	0.51	0.00
10.45	94.80	2.10	19.32	37.51	0.00	0.45	0.38	0.00
10.93	92.50	13.90	18.46	36.62	0.00	0.41	0.29	0.00
11.32	92.80	10.60	17.89	35.97	0.00	0.42	0.23	0.00
11.80	93.50	12.10	17.59	35.18	0.00	0.42	0.00	0.00
