# Distance = 4.25 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.41	15.00	4.10	8.69	8.52	0.00	26.55	21.59	0.00
0.82	23.40	1.30	14.95	13.04	0.00	17.24	15.42	0.00
1.24	29.20	1.50	17.03	15.56	0.00	10.53	9.28	0.00
1.64	36.20	1.10	17.76	16.50	0.00	8.55	6.24	0.00
2.06	44.00	1.10	19.16	17.49	0.00	6.30	4.32	0.00
2.47	52.10	1.20	19.81	17.77	0.00	4.69	3.04	0.00
2.89	52.90	1.70	20.04	17.81	0.00	3.38	1.93	0.00
3.30	54.80	2.20	19.94	17.62	0.00	2.55	1.30	0.00
3.71	55.00	2.50	20.04	17.78	0.00	2.00	0.00	0.00
