# Distance = 18.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.87	24.80	6.50	-3.61	20.49	0.00	3.41	61.05	0.00
1.74	46.20	5.60	5.33	32.80	0.00	3.75	38.34	0.00
2.61	60.50	5.80	7.42	37.35	0.00	3.61	27.15	0.00
3.50	69.60	3.90	10.68	42.94	0.00	3.48	19.43	0.00
4.37	77.50	3.70	13.34	44.48	0.00	3.28	11.86	0.00
5.24	82.90	4.50	16.60	44.43	0.00	2.90	7.58	0.00
6.11	84.10	4.90	18.56	44.00	0.00	2.24	4.88	0.00
6.98	85.60	4.90	19.09	43.87	0.00	1.74	3.30	0.00
7.85	87.60	4.90	20.52	40.44	0.00	1.47	0.00	0.00
