# Distance = 4.04 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.49	13.80	1.60	2.95	12.33	0.00	6.13	15.93	0.00
0.99	21.60	0.80	5.95	14.53	0.00	5.88	5.52	0.00
1.48	28.90	0.70	8.77	12.94	0.00	5.40	1.26	0.00
1.97	34.30	0.50	11.22	11.52	0.00	4.64	0.29	0.00
2.47	38.20	0.40	12.97	10.16	0.00	3.82	0.08	0.00
2.96	42.00	0.20	14.05	9.15	0.00	3.17	0.02	0.00
3.46	44.60	0.20	15.18	8.36	0.00	2.70	0.01	0.00
3.95	46.30	0.20	16.32	7.76	0.00	2.21	0.00	0.00
4.44	47.40	0.30	16.98	7.28	0.00	1.57	0.00	0.00
4.94	48.20	0.60	16.92	6.88	0.00	1.08	0.00	0.00
5.43	47.40	0.70	16.51	6.54	0.00	0.76	0.00	0.00
5.92	45.50	1.30	16.14	6.25	0.00	0.56	0.00	0.00
