# Distance = 80.6 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.70	305.00	10.00	-1.76	92.33	265.84	2.11	879.93	1173.44
3.41	257.00	10.00	-3.26	152.77	236.42	2.15	657.78	159.82
6.82	256.00	10.00	-6.02	220.88	175.44	2.24	363.12	0.01
13.67	271.00	10.00	-11.96	244.85	123.90	2.51	125.25	0.00
19.49	282.00	10.00	-16.08	240.53	103.77	3.67	61.48	0.00
23.36	287.00	10.00	20.42	238.81	94.78	4.12	47.36	0.00
27.24	283.00	10.00	29.14	232.98	87.77	3.58	30.75	0.00
31.22	280.00	10.00	32.73	223.71	81.99	3.40	18.49	0.00
35.10	280.00	10.00	36.65	214.70	77.32	3.32	13.99	0.00
38.97	281.00	10.00	43.27	206.92	73.38	3.25	9.86	0.00
42.85	282.00	10.00	48.80	198.69	69.98	2.74	6.64	0.00
46.73	287.00	10.00	47.48	189.06	67.02	2.44	5.23	0.00
50.71	292.00	10.00	51.73	184.23	64.33	2.54	4.79	0.00
54.58	298.00	10.00	57.46	180.41	62.01	2.24	3.46	0.00
58.46	298.00	10.00	60.53	174.78	59.92	1.81	1.94	0.00
62.34	298.00	10.00	61.00	168.02	58.02	1.38	1.38	0.00
66.21	298.00	10.00	60.54	162.78	56.30	1.19	1.00	0.00
70.19	298.00	10.00	62.68	158.16	54.68	0.99	0.71	0.00
74.07	298.00	10.00	63.13	152.93	53.23	0.69	0.00	0.00
