# Distance = 4.06 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.34	13.50	10.10	3.62	44.79	0.00	8.84	329.95	0.00
0.67	31.30	12.50	6.68	48.88	0.00	7.76	91.07	0.00
1.00	35.30	13.40	9.04	46.94	0.00	6.11	36.28	0.00
1.34	50.50	9.38	10.39	43.64	0.00	4.57	16.86	0.00
1.68	61.00	10.10	10.75	40.55	0.00	3.41	8.72	0.00
2.01	66.50	11.90	10.78	37.92	0.00	2.95	4.56	0.00
2.34	74.40	11.60	10.91	35.53	0.00	2.53	2.91	0.00
2.67	83.00	9.17	10.79	33.52	0.00	2.24	1.60	0.00
3.01	86.40	7.66	10.55	31.60	0.00	2.10	0.88	0.00
3.35	83.60	8.18	10.44	29.86	0.00	2.11	0.43	0.00
3.68	79.80	7.93	10.90	28.36	0.00	2.18	0.24	0.00
4.02	82.80	6.95	11.77	27.01	0.00	2.18	0.13	0.00
4.35	83.50	7.19	12.73	25.86	0.00	2.05	0.07	0.00
4.68	80.40	7.85	13.42	24.84	0.00	1.84	0.04	0.00
5.02	80.30	7.57	13.77	23.91	0.00	1.60	0.02	0.00
5.35	82.10	7.92	13.77	23.10	0.00	1.43	0.01	0.00
5.69	82.40	8.33	13.56	22.34	0.00	1.33	0.01	0.00
6.03	80.90	7.88	13.42	21.66	0.00	1.31	0.00	0.00
6.36	79.00	6.15	13.55	21.06	0.00	1.34	0.00	0.00
6.69	81.40	6.11	14.12	20.51	0.00	1.36	0.00	0.00
7.02	79.70	5.59	14.87	20.00	0.00	1.32	0.00	0.00
7.36	77.50	6.33	15.49	19.51	0.00	1.18	0.00	0.00
7.70	79.90	6.41	15.62	19.06	0.00	1.07	0.00	0.00
8.03	81.50	7.86	15.79	18.66	0.00	1.02	0.00	0.00
8.37	82.20	7.82	16.15	18.26	0.00	0.96	0.00	0.00
8.70	82.00	7.09	16.47	17.90	0.00	0.90	0.00	0.00
9.03	84.70	5.74	16.78	17.56	0.00	0.82	0.00	0.00
9.37	86.10	5.54	17.04	17.24	0.00	0.75	0.00	0.00
9.70	85.30	5.23	17.24	16.93	0.00	0.67	0.00	0.00
10.04	86.50	6.45	17.36	16.64	0.00	0.59	0.00	0.00
