# Distance = 18.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.87	47.80	8.20	3.21	22.51	153.43	8.09	149.63	3961.96
1.74	98.90	8.20	10.37	39.97	217.64	7.54	131.24	2479.37
2.61	146.00	7.70	12.47	54.47	259.32	5.64	115.11	1223.98
3.50	164.00	6.40	12.24	67.58	273.94	4.96	100.09	265.76
4.37	174.00	5.95	13.95	76.26	256.31	5.42	86.03	44.82
5.24	175.00	6.00	17.96	86.34	236.55	5.26	77.39	7.58
6.11	184.00	6.40	20.82	98.17	219.32	4.22	66.58	1.29
6.98	185.00	6.40	19.54	106.34	205.28	3.91	50.01	0.22
7.85	188.00	6.65	22.03	114.69	193.65	4.14	30.19	0.04
8.72	190.00	7.35	24.99	107.01	183.73	3.87	8.09	0.01
9.60	191.00	6.40	27.45	98.00	175.09	3.39	4.45	0.00
10.47	191.00	5.55	29.29	91.89	167.63	2.85	3.83	0.00
11.35	189.00	5.95	30.28	87.71	161.03	2.16	3.28	0.00
12.19	186.00	6.85	29.55	84.46	155.43	1.70	2.46	0.00
13.12	183.00	6.40	29.07	81.12	149.82	1.43	1.62	0.00
13.94	179.00	6.85	28.34	78.29	145.35	1.23	1.13	0.00
14.86	177.00	7.25	27.62	75.36	140.78	1.19	0.75	0.00
15.79	177.00	8.55	28.36	72.61	136.57	1.28	0.50	0.00
16.72	178.00	12.00	30.00	70.09	132.72	1.03	0.36	0.00
