# Distance = 68.1 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.33	90.00	20.00	-0.77	44.69	0.00	6.81	2070.29	0.00
0.99	125.00	15.00	-1.22	93.28	0.00	6.95	1190.44	0.00
1.98	148.00	15.00	1.32	132.23	0.00	7.14	888.44	0.00
2.64	180.00	17.00	2.98	154.59	0.00	7.25	784.11	0.00
3.63	201.00	15.00	5.38	196.69	0.00	7.39	702.55	0.00
7.59	206.00	10.00	15.54	220.79	0.00	7.64	192.87	0.00
12.50	214.00	5.00	28.70	213.25	0.00	7.38	56.10	0.00
17.48	212.00	5.00	40.16	198.59	0.00	6.15	17.41	0.00
22.46	213.00	2.00	47.09	175.49	0.00	4.93	10.54	0.00
27.44	214.00	2.00	52.43	162.44	0.00	3.97	5.26	0.00
32.32	213.00	2.00	57.30	150.95	0.00	2.98	2.50	0.00
37.30	213.00	3.00	59.28	139.46	0.00	1.80	0.96	0.00
42.28	203.00	3.00	57.86	129.88	0.00	1.20	0.33	0.00
