# Distance = 65.4 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.37	183.00	47.60	-1.91	11.26	123.59	8.31	213.07	8848.49
0.74	196.00	40.70	-3.22	21.17	191.42	8.65	200.63	5187.42
1.11	205.00	14.10	-4.22	30.05	218.87	8.95	188.92	3807.55
1.48	211.00	7.89	-5.01	38.08	240.05	9.23	177.89	2861.06
1.84	214.00	1.48	-5.56	45.22	258.74	9.52	167.77	2139.16
2.21	214.00	1.50	-5.82	51.93	273.65	9.78	157.98	1447.96
2.60	213.00	2.64	-5.88	58.42	280.20	10.03	148.27	808.78
2.96	211.00	4.50	-5.66	63.94	275.30	10.26	139.85	573.60
3.17	210.00	8.68	-5.36	66.97	274.94	10.39	135.15	462.34
3.33	209.00	3.00	-5.03	69.19	273.20	10.48	131.68	390.24
3.70	207.00	1.60	-3.85	74.08	268.56	10.68	123.99	254.51
4.07	206.00	1.73	0.46	78.66	262.81	10.89	116.75	150.84
4.44	205.00	3.45	4.60	83.01	255.92	11.06	109.94	84.07
4.81	205.00	2.77	6.79	87.31	248.41	11.22	103.48	50.43
5.18	206.00	7.48	8.76	90.63	241.01	11.37	89.73	30.04
5.55	207.00	5.02	10.67	91.17	233.88	11.50	79.83	17.93
5.92	208.00	7.70	12.53	91.97	227.13	11.62	78.76	10.75
6.28	210.00	1.95	14.43	93.74	220.90	11.73	77.91	6.52
6.34	210.00	4.78	14.76	94.14	219.93	11.73	77.94	6.01
6.65	212.00	1.96	16.40	96.53	214.90	11.77	75.88	3.89
7.03	214.00	0.76	18.29	99.21	209.22	11.76	70.88	2.31
7.39	215.00	2.22	19.95	101.24	204.19	11.72	67.18	1.39
7.77	216.00	1.76	21.62	103.28	199.24	11.66	63.61	0.82
8.14	217.00	1.53	23.16	105.13	194.76	11.57	60.05	0.49
8.51	218.00	7.70	24.59	106.79	190.42	11.45	56.59	0.29
8.88	218.00	6.86	25.86	108.26	186.31	11.30	53.33	0.18
9.25	218.00	8.37	26.92	109.57	182.70	11.13	50.25	0.11
9.52	218.00	3.93	27.48	110.44	180.08	10.99	48.10	0.07
9.62	218.00	4.05	27.62	110.74	179.14	10.96	47.33	0.06
9.99	217.00	20.20	28.24	111.77	175.79	10.92	44.58	0.04
10.40	217.00	4.20	29.15	112.76	172.23	10.88	41.71	0.02
10.71	216.00	3.16	29.86	113.40	169.76	10.85	39.66	0.01
11.12	215.00	6.72	30.83	114.15	166.60	10.83	37.11	0.01
12.67	212.00	1.82	35.11	115.93	156.10	10.82	28.84	0.00
12.98	211.00	16.60	36.13	116.12	154.24	10.81	27.43	0.00
15.86	209.00	8.38	46.34	115.83	139.51	10.49	17.17	0.00
19.05	215.00	13.20	58.36	112.69	127.33	9.24	10.22	0.00
22.14	215.00	13.90	67.19	108.21	118.11	6.88	6.19	0.00
25.34	210.00	10.60	70.25	102.97	110.40	4.51	3.68	0.00
28.53	196.00	12.80	69.18	97.71	104.04	2.71	2.19	0.00
31.72	185.00	11.50	66.10	92.73	98.67	1.89	1.30	0.00
34.91	182.00	10.80	65.02	88.32	94.06	1.30	0.78	0.00
38.00	181.00	10.30	67.88	85.11	90.15	0.76	0.00	0.00
