# Distance = 13.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.25	20.90	3.40	0.44	17.18	0.00	5.46	272.41	0.00
0.83	40.00	3.29	0.42	34.66	0.00	5.57	166.23	0.00
1.38	51.50	2.96	2.17	50.96	0.00	6.03	138.71	0.00
1.85	67.90	3.45	5.09	61.21	0.00	6.46	79.92	0.00
2.68	80.20	2.93	10.69	59.94	0.00	6.80	45.26	0.00
3.19	83.30	3.08	13.90	62.59	0.00	6.57	40.72	0.00
3.68	91.40	2.83	16.50	64.43	0.00	6.05	29.74	0.00
4.13	102.00	5.40	18.21	65.57	0.00	5.53	23.81	0.00
5.23	105.00	4.21	21.07	63.39	0.00	4.44	9.33	0.00
6.05	109.00	2.10	22.76	59.66	0.00	3.81	5.36	0.00
6.81	108.00	2.10	24.16	56.66	0.00	3.34	3.23	0.00
7.56	109.00	2.10	25.71	53.85	0.00	2.96	1.97	0.00
8.32	110.00	2.10	27.78	51.24	0.00	2.48	1.19	0.00
9.09	111.00	2.33	29.41	48.93	0.00	1.51	0.71	0.00
9.86	112.00	4.74	28.65	46.73	0.00	0.55	0.00	0.00
