# Distance = 18.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.74	59.20	3.50	-4.30	56.57	0.00	4.19	85.21	0.00
2.61	71.20	4.00	-5.58	59.57	0.00	4.86	60.23	0.00
3.50	84.50	4.40	6.16	62.21	0.00	5.76	39.39	0.00
4.37	93.50	4.50	12.85	64.19	0.00	5.76	30.27	0.00
5.24	97.50	3.50	15.77	64.85	0.00	5.16	19.84	0.00
6.11	100.00	3.50	18.50	64.81	0.00	5.13	16.56	0.00
6.98	101.00	4.00	21.80	64.78	0.00	4.79	11.11	0.00
7.85	103.00	3.50	24.25	63.55	0.00	4.24	8.41	0.00
8.72	105.00	4.00	25.81	62.70	0.00	4.01	6.30	0.00
9.60	110.00	4.90	28.92	61.75	0.00	3.76	4.84	0.00
10.47	111.00	6.00	32.27	62.08	0.00	3.11	3.40	0.00
