# Distance = 6.8 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.10	6.29	4.62	0.80	1.95	0.00	9.88	28.27	0.00
0.30	13.90	4.62	2.42	6.29	0.00	9.89	27.04	0.00
0.49	15.60	4.62	4.00	9.63	0.00	9.91	24.79	0.00
0.69	18.40	4.62	5.78	13.87	0.00	9.91	20.69	0.00
0.89	22.50	4.62	7.63	15.09	0.00	9.76	13.80	0.00
1.09	26.50	4.62	9.50	16.33	0.00	9.47	11.64	0.00
1.29	35.30	4.62	11.33	17.26	0.00	9.00	10.22	0.00
1.48	40.50	4.62	12.97	18.26	0.00	8.43	7.90	0.00
1.68	44.20	4.89	14.60	19.02	0.00	7.68	6.66	0.00
1.88	46.30	4.62	16.02	19.43	0.00	6.69	3.94	0.00
2.08	46.40	4.62	17.02	19.01	0.00	5.63	2.82	0.00
2.27	46.30	4.62	17.71	18.64	0.00	4.72	2.15	0.00
2.37	46.40	6.73	17.98	18.46	0.00	4.26	1.85	0.00
2.98	46.90	8.65	18.13	17.19	0.00	1.97	0.00	0.00
