# Distance = 48.9 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.07	22.10	7.17	1.67	18.36	0.00	3.29	33.61	0.00
1.78	42.70	10.66	3.18	24.57	0.00	3.33	20.55	0.00
2.49	60.60	7.69	4.83	27.54	0.00	3.35	14.40	0.00
2.97	76.80	11.10	5.96	28.38	0.00	3.34	9.68	0.00
3.04	81.60	17.50	6.12	28.30	0.00	3.34	9.37	0.00
3.19	87.00	8.93	6.46	28.20	0.00	3.33	9.20	0.00
6.95	90.00	24.80	13.64	29.69	0.00	3.07	3.37	0.00
8.58	97.80	9.40	17.36	29.20	0.00	2.92	1.89	0.00
9.26	93.70	25.30	18.90	28.83	0.00	2.81	1.69	0.00
9.89	103.00	23.80	20.30	28.80	0.00	2.67	1.50	0.00
10.08	97.40	11.00	20.70	28.80	0.00	2.62	1.43	0.00
11.84	106.50	9.48	23.39	27.84	0.00	2.08	0.72	0.00
14.56	112.00	11.00	23.25	25.83	0.00	1.43	0.36	0.00
15.43	111.50	9.40	22.99	25.22	0.00	1.40	0.28	0.00
17.93	111.00	24.30	24.29	23.78	0.00	1.38	0.14	0.00
19.02	112.50	7.75	25.70	22.86	0.00	1.34	0.00	0.00
