# Distance = 10.5 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.02	56.10	3.40	3.08	25.76	0.00	3.85	57.68	0.00
2.04	71.10	3.00	5.88	37.68	0.00	4.11	32.64	0.00
3.05	80.70	1.50	11.32	42.08	0.00	4.03	19.02	0.00
4.07	82.80	1.50	15.02	44.20	0.00	3.29	8.65	0.00
5.09	83.70	1.50	17.18	41.75	0.00	2.55	3.81	0.00
6.11	86.00	1.50	19.25	38.66	0.00	2.04	1.63	0.00
7.13	88.30	2.30	21.02	35.74	0.00	1.20	0.70	0.00
8.14	90.00	3.00	20.22	32.82	0.00	0.45	0.00	0.00
