# Distance = 53.3 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.22	12.40	7.00	1.52	38.31	0.00	5.98	1846.57	0.00
0.78	37.50	4.00	4.32	85.68	0.00	5.27	705.48	0.00
1.33	56.50	4.00	6.28	104.00	0.00	4.71	403.21	0.00
2.33	69.10	4.00	8.80	114.41	0.00	4.06	121.25	0.00
3.44	85.50	7.50	11.27	107.32	0.00	3.57	35.98	0.00
3.78	87.10	8.40	11.96	103.69	0.00	3.45	25.02	0.00
4.77	105.00	4.00	13.86	92.01	0.00	3.07	8.51	0.00
5.44	112.00	6.70	14.92	86.42	0.00	2.82	6.64	0.00
6.11	116.00	4.00	15.78	81.41	0.00	2.59	6.17	0.00
7.22	124.00	4.00	16.79	76.23	0.00	2.33	5.40	0.00
9.33	135.00	4.00	19.73	68.44	0.00	1.94	2.80	0.00
11.10	140.00	4.00	21.14	64.22	0.00	1.46	1.77	0.00
15.55	144.00	5.00	22.39	55.45	0.00	0.74	0.00	0.00
