# Distance = 69.1 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
9.93	377.00	10.30	-10.53	256.19	207.88	1.35	296.73	20.38
10.05	377.00	19.70	-10.64	257.89	206.72	1.36	291.60	19.35
10.35	378.00	10.80	-10.90	261.84	204.39	1.39	277.36	17.03
15.07	367.00	10.70	-10.00	272.56	172.60	1.96	136.26	2.35
20.09	364.00	6.67	12.77	270.27	150.75	2.31	75.14	0.29
25.12	375.00	6.19	24.48	262.56	134.46	2.14	44.74	0.03
30.14	383.00	3.82	30.50	253.59	123.32	1.69	22.30	0.00
35.17	378.00	2.21	32.32	235.57	114.11	1.31	10.75	0.00
40.19	364.00	4.00	32.30	219.43	106.72	1.07	6.12	0.00
45.21	349.00	3.00	32.05	206.72	100.63	1.01	3.49	0.00
50.24	338.00	3.08	33.96	194.65	95.47	0.99	1.62	0.00
55.26	332.00	2.19	37.27	183.49	91.03	0.89	0.91	0.00
60.28	330.00	1.61	39.95	174.26	87.16	0.73	0.48	0.00
65.31	329.00	2.20	41.48	166.15	83.74	0.56	0.25	0.00
70.33	330.00	3.53	42.09	159.10	80.69	0.36	0.13	0.00
75.35	332.00	13.40	41.04	152.96	77.96	0.22	0.07	0.00
80.38	333.00	15.30	43.47	147.30	75.48	0.15	0.00	0.00
