# Distance = 3.36 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.16	1.99	1.50	1.53	3.95	0.00	4.39	33.32	0.00
0.41	4.84	1.50	3.59	9.97	0.00	3.81	26.13	0.00
0.57	6.79	1.50	4.79	12.42	0.00	3.35	17.44	0.00
0.73	8.87	1.50	5.79	14.50	0.00	2.79	13.62	0.00
0.90	10.90	1.50	6.72	15.72	0.00	2.21	10.58	0.00
1.06	12.90	1.50	7.36	16.38	0.00	1.52	6.37	0.00
1.22	14.70	1.50	7.56	16.23	0.00	0.80	4.47	0.00
1.47	16.80	1.50	7.09	15.96	0.00	0.00	2.62	0.00
1.79	20.10	1.50	5.92	15.34	0.00	0.00	0.00	0.00
