# Distance = 18.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.87	24.30	3.90	-4.16	35.86	0.00	0.30	191.00	0.00
1.74	49.60	3.90	-9.64	47.83	0.00	1.90	153.45	0.00
2.61	73.60	5.20	-9.49	60.94	0.00	4.36	134.77	0.00
3.50	101.00	4.40	6.52	74.24	0.00	4.61	114.51	0.00
4.37	107.00	3.50	11.79	85.57	0.00	4.03	103.75	0.00
5.24	115.00	3.50	12.46	96.89	0.00	3.21	84.90	0.00
6.11	123.00	3.90	11.64	105.03	0.00	3.79	67.02	0.00
6.98	130.00	3.90	16.50	108.22	0.00	3.91	47.76	0.00
7.85	134.00	3.50	19.18	110.00	0.00	3.20	36.97	0.00
8.72	136.00	3.90	19.99	109.35	0.00	3.63	26.95	0.00
9.60	137.00	4.00	24.54	108.54	0.00	3.18	20.07	0.00
10.47	136.00	3.50	26.63	106.86	0.00	2.79	14.15	0.00
11.35	137.00	3.50	28.81	104.21	0.00	2.31	9.61	0.00
12.19	137.00	3.50	29.52	101.50	0.00	1.47	6.53	0.00
13.12	137.00	5.00	28.04	98.00	0.00	1.34	3.59	0.00
13.94	138.00	5.00	28.90	94.51	0.00	1.14	1.84	0.00
14.86	137.00	7.50	28.66	89.30	0.00	0.59	0.00	0.00
