# Distance = 28.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.63	262.00	73.60	-0.61	81.61	389.26	1.61	1924.79	3538.94
0.79	250.00	55.50	-0.69	97.46	366.12	1.62	1780.53	1444.35
0.95	241.00	42.90	-0.74	111.83	343.54	1.63	1647.07	614.37
1.11	234.00	31.90	-0.76	124.90	322.48	1.64	1523.62	245.76
1.27	228.00	28.80	-0.75	136.81	303.96	1.65	1409.42	56.22
1.43	225.00	24.20	-0.67	147.59	286.96	1.66	1293.80	9.44
1.59	222.00	12.20	-0.49	157.42	272.22	1.67	1216.03	1.58
1.90	221.00	6.34	0.70	174.36	249.03	1.68	1035.95	0.05
2.06	221.00	12.20	0.92	182.35	239.17	1.68	959.00	0.01
2.22	222.00	16.90	1.12	189.64	230.43	1.69	881.35	0.00
2.38	222.00	26.00	1.39	196.42	222.52	1.69	805.09	0.00
2.79	221.00	13.10	1.91	208.05	205.57	1.69	591.39	0.00
2.86	221.00	11.80	2.01	209.35	203.04	1.69	561.90	0.00
3.02	220.00	22.90	2.20	211.74	197.59	1.68	498.81	0.00
4.17	205.00	8.45	2.27	208.43	168.15	1.64	204.27	0.00
5.56	190.00	13.30	-1.75	191.48	145.62	1.65	125.14	0.00
6.96	190.00	8.87	-4.75	184.20	130.15	1.77	91.90	0.00
8.35	198.00	3.19	-5.38	179.63	118.83	2.14	71.15	0.00
9.73	204.00	2.56	5.44	178.89	110.08	2.50	48.31	0.00
11.14	204.00	1.09	12.68	171.21	102.88	2.78	27.66	0.00
12.51	201.00	0.57	19.03	163.98	97.08	2.82	21.56	0.00
13.88	203.00	0.75	24.28	158.70	92.17	2.56	16.15	0.00
15.35	202.00	0.89	28.09	153.53	87.64	2.07	10.13	0.00
16.72	198.00	1.58	29.94	146.73	83.97	1.53	6.58	0.00
18.08	195.00	1.50	30.31	141.24	80.75	1.10	4.79	0.00
19.45	194.00	2.16	30.01	136.02	77.86	0.76	3.32	0.00
20.92	192.00	6.21	29.15	130.83	75.07	0.50	2.25	0.00
22.92	190.00	3.14	27.65	124.42	71.72	0.26	1.33	0.00
25.02	191.00	14.60	25.81	118.47	68.65	0.14	0.76	0.00
29.23	193.00	18.60	23.54	108.44	63.51	0.00	0.00	0.00
