# Distance = 28.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.41	33.20	11.60	1.78	29.39	0.00	4.73	467.41	0.00
0.98	50.40	11.80	3.67	48.22	0.00	4.45	292.08	0.00
1.78	53.90	9.75	5.69	62.88	0.00	4.09	219.00	0.00
2.69	67.60	5.10	7.31	76.49	0.00	3.74	156.26	0.00
3.36	81.70	5.06	8.02	83.29	0.00	3.53	146.41	0.00
4.39	102.00	5.35	8.44	88.07	0.00	3.36	108.55	0.00
5.65	116.00	6.44	8.36	93.28	0.00	3.41	95.16	0.00
6.34	132.00	9.10	8.97	97.36	0.00	3.60	92.21	0.00
6.89	137.00	5.25	10.59	101.97	0.00	3.77	89.95	0.00
8.34	154.00	4.20	15.26	115.46	0.00	3.94	80.54	0.00
10.04	163.00	3.28	21.01	130.55	0.00	3.93	59.60	0.00
11.65	170.00	2.41	26.51	135.31	0.00	3.64	40.85	0.00
13.36	175.00	2.18	31.30	134.95	0.00	2.93	23.80	0.00
15.06	177.00	2.23	33.82	130.54	0.00	2.10	16.32	0.00
16.67	178.00	2.03	34.65	126.35	0.00	1.42	11.21	0.00
