# Distance = 6.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.49	25.00	2.04	1.90	16.95	0.00	4.47	58.26	0.00
0.97	42.50	2.70	4.26	26.54	0.00	4.77	34.10	0.00
1.47	48.00	2.15	7.69	28.72	0.00	4.49	11.98	0.00
1.95	49.20	2.08	9.60	27.65	0.00	3.62	4.38	0.00
2.44	50.40	2.06	10.31	24.69	0.00	2.98	1.23	0.00
2.92	51.60	2.04	10.63	22.27	0.00	2.76	0.42	0.00
3.41	53.20	2.00	11.39	20.28	0.00	2.80	0.14	0.00
3.89	55.10	2.05	13.17	18.73	0.00	2.90	0.05	0.00
4.39	57.80	2.24	15.84	17.44	0.00	2.72	0.02	0.00
4.88	57.30	2.00	17.96	16.42	0.00	2.09	0.01	0.00
5.36	57.50	2.00	18.92	15.58	0.00	1.32	0.00	0.00
