# Distance = 35.4 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.26	14.60	13.00	-0.32	5.06	0.00	2.58	34.28	0.00
0.44	10.00	7.00	-0.57	8.17	0.00	2.58	31.74	0.00
0.77	10.70	7.13	-1.06	13.14	0.00	2.59	26.03	0.00
0.89	17.40	9.60	-1.24	14.55	0.00	2.60	23.16	0.00
1.22	23.50	11.20	-1.70	17.29	0.00	2.64	17.48	0.00
1.55	31.00	5.20	-2.08	18.36	0.00	2.69	11.30	0.00
1.80	32.30	2.41	-2.23	18.25	0.00	2.74	10.51	0.00
2.21	40.90	5.90	-2.47	19.06	0.00	2.79	10.14	0.00
2.31	43.80	4.26	-2.55	19.40	0.00	2.80	9.91	0.00
2.54	44.80	4.50	-2.83	20.15	0.00	2.83	9.20	0.00
3.10	51.70	12.70	-3.42	22.18	0.00	3.01	8.56	0.00
3.43	55.70	4.50	-3.12	23.70	0.00	3.16	7.60	0.00
3.86	59.40	9.85	-1.18	24.93	0.00	3.32	6.05	0.00
4.09	62.00	4.50	2.24	25.36	0.00	3.40	5.43	0.00
4.37	63.00	3.20	3.92	25.75	0.00	3.49	4.75	0.00
4.76	66.60	6.90	5.83	26.10	0.00	3.60	3.90	0.00
5.40	71.30	2.95	8.76	26.18	0.00	3.74	2.77	0.00
5.86	72.30	15.50	10.70	25.93	0.00	3.78	2.15	0.00
6.08	73.40	6.00	11.56	25.74	0.00	3.78	1.92	0.00
6.43	72.40	5.81	12.91	25.40	0.00	3.79	1.61	0.00
6.97	77.10	12.10	15.02	24.75	0.00	3.77	1.25	0.00
7.96	80.30	13.50	18.36	23.77	0.00	3.54	0.92	0.00
10.29	84.70	6.00	24.08	22.10	0.00	2.83	0.37	0.00
15.49	86.90	5.60	30.00	17.79	0.00	1.07	0.00	0.00
16.26	85.80	8.60	30.12	17.11	0.00	0.80	0.00	0.00
