# Distance = 18.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.74	96.40	12.10	6.63	129.94	70.64	8.92	1123.87	0.01
3.50	157.00	10.50	13.26	217.14	49.80	8.27	658.27	0.00
5.24	192.00	8.40	17.97	237.27	40.70	7.35	352.95	0.00
6.98	201.00	6.90	20.57	246.08	35.27	6.63	198.18	0.00
8.72	201.00	7.30	22.89	251.04	31.55	6.69	108.77	0.00
10.47	194.00	6.40	28.76	230.83	28.80	6.85	29.25	0.00
12.19	190.00	6.00	35.20	208.68	26.69	5.95	13.48	0.00
13.94	186.00	6.40	38.94	192.93	24.96	5.36	7.50	0.00
15.68	184.00	6.40	43.02	179.42	23.53	4.26	4.20	0.00
17.42	182.00	7.30	44.32	169.39	22.32	3.38	2.43	0.00
19.16	181.00	6.60	45.24	160.21	21.29	2.74	0.66	0.00
20.90	183.00	6.50	46.40	151.63	20.38	2.14	0.54	0.00
22.65	185.00	6.50	46.81	145.13	19.58	1.37	0.28	0.00
24.39	186.00	9.10	45.02	139.04	18.87	0.80	0.07	0.00
26.13	186.00	11.40	42.37	133.74	18.23	0.50	0.04	0.00
27.87	184.00	13.60	39.96	129.07	17.65	0.39	0.02	0.00
29.61	185.00	13.60	38.30	124.89	17.12	0.37	0.00	0.00
