# Distance = 6.92 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.50	16.90	3.64	2.58	40.40	0.00	10.58	384.13	0.00
1.00	23.90	3.64	5.61	63.94	0.00	11.02	285.19	0.00
1.51	28.20	3.64	9.68	77.50	0.00	11.16	113.52	0.00
2.01	33.00	3.64	13.57	76.31	0.00	10.88	71.38	0.00
2.52	39.10	3.64	17.48	75.37	0.00	10.16	44.94	0.00
3.02	43.80	3.64	20.96	73.97	0.00	9.18	24.31	0.00
3.52	53.10	3.64	24.17	70.17	0.00	7.78	12.51	0.00
4.03	61.00	3.64	26.44	66.13	0.00	5.97	7.23	0.00
