# Distance = 18.1 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.26	16.00	5.09	0.79	8.62	0.00	5.12	77.83	0.00
0.44	18.90	4.44	1.30	13.92	0.00	5.10	74.60	0.00
0.61	25.80	3.36	1.76	18.33	0.00	5.08	58.52	0.00
0.79	35.80	3.79	2.24	21.50	0.00	5.07	47.31	0.00
1.01	44.10	7.91	2.81	24.62	0.00	5.05	35.46	0.00
5.26	59.65	0.98	14.82	26.87	0.00	5.16	1.93	0.00
7.91	69.15	1.23	24.66	24.17	0.00	4.32	0.65	0.00
10.52	76.95	0.54	30.81	21.29	0.00	2.41	0.19	0.00
13.14	81.25	0.73	30.76	18.88	0.00	0.96	0.05	0.00
15.82	84.45	1.31	30.41	17.02	0.00	0.00	0.00	0.00
