# Distance = 80.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.17	123.00	6.20	2.49	183.68	0.00	6.00	2905.87	0.00
1.56	142.00	6.20	3.26	210.69	0.00	5.98	2304.03	0.00
1.96	205.00	6.20	4.03	232.35	0.00	5.96	1870.29	0.00
2.73	228.00	6.20	5.48	264.64	0.00	5.92	1313.72	0.00
3.52	238.00	6.20	6.93	281.36	0.00	5.89	825.59	0.00
10.59	229.00	4.20	19.78	269.07	0.00	5.60	159.49	0.00
17.65	225.00	6.90	31.96	243.56	0.00	4.75	48.01	0.00
24.61	220.00	4.00	41.12	226.66	0.00	4.14	36.25	0.00
31.67	222.00	2.40	51.36	219.46	0.00	3.01	15.29	0.00
38.74	219.00	4.10	55.09	202.44	0.00	1.57	5.94	0.00
45.80	214.00	4.70	51.12	183.38	0.00	0.94	2.13	0.00
52.86	216.00	2.60	49.68	169.66	0.00	0.65	1.20	0.00
59.82	216.00	8.80	53.10	158.23	0.00	0.47	0.00	0.00
