# Distance = 53.3 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.22	10.70	4.90	0.55	5.59	0.00	2.67	69.18	0.00
0.76	24.70	4.90	1.97	17.64	0.00	2.67	60.07	0.00
1.31	38.90	4.90	3.43	26.64	0.00	2.63	42.04	0.00
1.94	42.70	7.89	5.05	32.26	0.00	2.55	31.07	0.00
3.92	55.00	4.90	8.91	38.26	0.00	2.20	9.64	0.00
4.35	57.20	4.90	9.63	38.45	0.00	2.16	8.68	0.00
5.00	59.80	4.90	10.84	39.07	0.00	2.11	6.38	0.00
5.05	62.50	3.43	10.95	39.09	0.00	2.11	6.20	0.00
5.83	61.80	3.98	12.72	38.47	0.00	2.03	3.70	0.00
6.09	64.40	4.90	13.32	38.09	0.00	1.99	3.52	0.00
6.74	67.20	4.90	14.87	39.17	0.00	1.86	2.89	0.00
7.29	69.90	4.90	16.05	36.96	0.00	1.70	0.00	0.00
