# Distance = 3.45 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.25	3.17	3.22	-1.33	5.90	0.00	5.98	65.14	0.00
0.50	10.50	3.32	-1.36	12.00	0.00	6.74	51.87	0.00
0.75	17.50	4.47	2.48	16.33	0.00	7.18	46.83	0.00
1.00	22.70	4.96	4.45	22.04	0.00	7.04	54.31	0.00
1.26	29.70	5.29	5.78	31.10	0.00	6.96	32.62	0.00
1.50	34.50	4.70	6.63	29.72	0.00	6.62	19.25	0.00
1.76	36.00	3.51	6.97	29.75	0.00	6.60	15.23	0.00
2.01	37.30	3.45	7.54	28.50	0.00	6.79	12.00	0.00
2.26	35.60	3.57	8.85	28.10	0.00	7.27	13.38	0.00
2.51	34.90	3.88	10.82	29.31	0.00	7.52	13.97	0.00
2.76	32.70	3.27	13.16	31.96	0.00	7.72	13.63	0.00
3.01	32.80	3.21	15.31	34.17	0.00	7.52	9.76	0.00
3.27	33.20	3.21	17.49	33.86	0.00	7.29	4.59	0.00
3.51	32.10	3.23	19.36	32.43	0.00	6.76	3.15	0.00
3.76	30.10	3.16	20.73	31.31	0.00	6.08	2.91	0.00
4.02	32.30	3.16	21.74	30.49	0.00	5.44	2.25	0.00
4.26	33.60	3.12	22.41	29.79	0.00	4.87	1.90	0.00
4.52	35.10	3.12	22.97	29.14	0.00	4.38	1.51	0.00
4.77	35.30	3.12	23.33	28.56	0.00	3.91	1.22	0.00
5.02	35.20	3.13	23.56	28.08	0.00	3.59	0.98	0.00
5.27	34.60	3.11	23.81	27.80	0.00	3.31	0.79	0.00
5.52	33.00	3.11	24.33	26.65	0.00	3.16	0.00	0.00
