# Distance = 4.35 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.42	14.20	1.91	4.35	5.21	0.00	12.09	12.58	0.00
1.26	28.60	1.82	11.64	11.68	0.00	10.20	6.61	0.00
2.11	41.00	1.74	17.48	14.80	0.00	6.65	3.13	0.00
2.96	49.00	1.91	19.90	14.69	0.00	3.61	1.10	0.00
3.79	54.80	2.05	20.16	13.64	0.00	1.66	0.48	0.00
4.65	56.40	3.12	19.34	12.44	0.00	0.00	0.18	0.00
5.48	57.80	2.83	16.00	11.40	0.00	0.00	0.07	0.00
6.33	56.50	0.65	14.39	10.45	0.00	0.00	0.00	0.00
