# Distance = 5.27 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.08	1.41	4.00	-0.28	1.53	0.00	2.77	26.07	0.00
0.23	4.46	4.00	-0.96	3.62	0.00	2.70	22.46	0.00
0.38	7.71	4.00	-1.74	5.38	0.00	2.70	23.42	0.00
0.54	11.00	4.00	-2.65	8.34	0.00	2.77	21.45	0.00
0.69	14.20	4.00	-3.48	10.35	0.00	2.98	21.15	0.00
0.84	17.20	5.78	-4.20	12.23	0.00	3.30	19.27	0.00
1.00	20.20	4.74	-4.78	14.09	0.00	3.75	17.88	0.00
1.15	23.20	4.00	-5.05	15.62	0.00	4.32	15.91	0.00
1.30	26.40	7.13	-4.69	17.02	0.00	5.00	14.19	0.00
1.46	29.30	4.38	-3.02	18.13	0.00	5.66	12.24	0.00
1.61	31.60	4.94	3.71	18.99	0.00	6.13	10.18	0.00
1.76	34.60	4.00	6.54	19.45	0.00	6.28	8.50	0.00
1.92	37.40	7.09	8.75	19.75	0.00	6.22	7.25	0.00
2.07	39.90	4.00	10.39	19.94	0.00	5.98	6.30	0.00
2.22	42.20	4.37	11.72	20.03	0.00	5.67	5.51	0.00
2.38	44.40	4.58	12.82	20.14	0.00	5.27	5.00	0.00
2.53	46.70	5.91	13.64	20.25	0.00	4.91	4.33	0.00
2.68	48.50	7.72	14.29	20.22	0.00	4.60	3.68	0.00
2.76	49.30	9.73	14.62	20.16	0.00	4.45	3.42	0.00
3.07	53.00	4.00	15.78	19.86	0.00	3.91	2.71	0.00
3.46	54.10	4.00	16.97	19.55	0.00	3.14	2.16	0.00
3.83	55.00	4.00	17.25	19.22	0.00	2.43	1.67	0.00
4.23	55.70	4.00	17.31	18.83	0.00	2.18	1.41	0.00
4.62	56.40	4.00	18.38	18.66	0.00	1.99	1.22	0.00
4.99	56.90	4.00	19.14	18.61	0.00	1.38	0.99	0.00
