# Distance = 18.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.74	84.90	11.30	-3.00	137.13	0.00	10.20	790.04	0.00
3.50	136.00	9.90	8.53	180.48	0.00	11.60	652.93	0.00
5.24	162.00	8.00	19.05	240.96	0.00	12.13	469.12	0.00
6.98	179.00	6.50	28.69	264.08	0.00	11.52	205.90	0.00
8.72	182.00	6.10	36.67	243.50	0.00	10.23	95.39	0.00
10.47	179.00	7.00	42.88	230.21	0.00	8.42	52.19	0.00
12.19	174.00	6.20	47.02	219.04	0.00	6.71	21.94	0.00
13.94	171.00	7.20	49.61	199.10	0.00	4.80	5.09	0.00
15.68	168.00	6.10	49.56	184.12	0.00	3.42	3.51	0.00
17.42	165.00	5.60	48.89	172.87	0.00	2.49	1.72	0.00
19.28	171.00	8.60	47.79	162.64	0.00	1.69	0.85	0.00
21.48	174.00	7.60	45.82	152.40	0.00	1.15	0.00	0.00
