# Distance = 13.2 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.96	34.20	3.32	-2.88	20.68	0.00	3.38	44.60	0.00
1.92	49.50	4.60	-5.64	30.32	0.00	4.03	24.65	0.00
2.88	59.90	4.38	-4.03	33.20	0.00	4.83	15.63	0.00
3.84	65.30	4.31	5.86	35.20	0.00	5.11	8.99	0.00
4.80	69.80	3.83	10.11	34.70	0.00	5.21	5.81	0.00
5.76	73.80	3.45	14.37	34.08	0.00	5.09	4.38	0.00
6.72	76.20	3.24	16.59	34.86	0.00	4.67	2.64	0.00
7.68	79.30	3.19	17.71	33.07	0.00	4.61	1.24	0.00
8.64	80.30	3.31	20.59	31.09	0.00	4.66	0.86	0.00
9.60	81.90	3.69	22.84	29.67	0.00	4.39	0.52	0.00
10.60	84.00	3.89	24.81	28.18	0.00	4.37	0.32	0.00
11.50	85.60	3.67	27.97	26.94	0.00	4.39	0.20	0.00
12.50	87.90	3.43	31.68	25.69	0.00	4.07	0.12	0.00
13.40	90.80	3.36	34.63	24.67	0.00	3.68	0.08	0.00
14.40	95.50	3.18	37.43	23.68	0.00	3.08	0.05	0.00
15.40	98.00	3.18	39.21	22.75	0.00	2.28	0.00	0.00
