# Distance = 96.8 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.47	15.30	4.40	0.15	13.28	0.00	3.99	109.04	0.00
1.41	41.00	4.36	1.15	33.58	0.00	4.06	72.11	0.00
2.35	60.70	4.40	2.45	42.01	0.00	4.16	38.44	0.00
3.29	74.90	4.40	4.08	43.35	0.00	4.30	25.90	0.00
4.22	83.00	6.28	6.13	45.34	0.00	4.47	22.10	0.00
5.17	86.80	4.40	8.87	47.72	0.00	4.63	17.53	0.00
6.11	89.40	4.40	11.64	49.98	0.00	4.73	14.30	0.00
7.05	92.50	4.40	14.55	50.49	0.00	4.81	10.99	0.00
7.99	94.70	4.40	17.60	51.38	0.00	4.83	9.03	0.00
8.92	96.30	4.40	20.71	50.44	0.00	4.81	7.15	0.00
9.87	97.80	4.40	24.12	51.11	0.00	4.70	6.60	0.00
10.79	98.80	4.62	27.28	51.83	0.00	4.48	5.52	0.00
11.80	99.50	4.40	30.56	52.34	0.00	4.14	4.26	0.00
12.60	99.70	5.14	32.92	52.11	0.00	3.78	3.36	0.00
