# Distance = 12.5 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.91	29.60	2.38	1.57	7.88	0.00	5.57	8.79	0.00
1.81	44.60	2.40	4.28	11.55	0.00	5.74	4.00	0.00
2.73	50.40	2.86	7.33	12.45	0.00	6.03	2.78	0.00
3.64	56.80	3.43	11.60	13.81	0.00	6.10	2.19	0.00
4.55	60.70	2.98	14.79	14.63	0.00	5.80	1.46	0.00
5.45	64.70	2.46	17.50	15.14	0.00	5.80	0.99	0.00
6.36	68.00	2.38	21.61	14.88	0.00	5.81	0.66	0.00
7.28	71.50	2.52	26.70	14.56	0.00	5.27	0.43	0.00
8.19	73.40	2.68	30.20	14.14	0.00	4.26	0.29	0.00
9.09	74.00	2.83	31.84	13.70	0.00	3.20	0.20	0.00
10.00	73.80	3.22	32.67	13.32	0.00	2.27	0.13	0.00
10.91	73.90	3.42	32.39	12.86	0.00	1.52	0.00	0.00
