# Distance = 5.73 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.22	50.20	7.50	4.83	37.54	0.00	22.05	508.15	0.00
0.66	62.20	7.51	11.65	46.46	0.00	14.78	83.28	0.00
1.11	72.40	5.35	15.12	44.60	0.00	6.91	25.10	0.00
1.55	73.20	3.31	15.06	40.11	0.00	3.87	8.16	0.00
2.00	72.90	3.21	14.89	35.94	0.00	2.05	2.97	0.00
2.45	72.60	2.73	14.04	32.40	0.00	1.16	0.83	0.00
2.89	71.50	3.41	13.18	29.48	0.00	0.79	0.29	0.00
3.34	71.10	4.38	12.38	27.17	0.00	0.53	0.09	0.00
3.78	71.40	4.60	11.62	25.36	0.00	0.53	0.03	0.00
4.22	71.50	5.68	11.45	23.88	0.00	0.53	0.01	0.00
4.66	71.50	6.20	11.56	22.64	0.00	0.47	0.00	0.00
5.11	71.30	6.43	11.64	21.56	0.00	0.37	0.00	0.00
5.56	71.80	9.68	11.66	20.63	0.00	0.30	0.00	0.00
6.00	71.50	10.50	12.43	19.83	0.00	0.26	0.00	0.00
