# Distance = 7.21 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.52	7.31	2.12	-3.33	11.19	0.00	2.82	32.26	0.00
1.05	14.60	2.05	-5.17	16.61	0.00	4.45	21.96	0.00
1.57	21.00	2.05	1.60	20.65	0.00	6.30	16.46	0.00
2.09	28.10	2.06	10.58	23.83	0.00	6.75	11.70	0.00
2.63	35.30	2.50	14.81	25.77	0.00	5.20	8.74	0.00
3.15	43.00	3.38	16.02	27.82	0.00	4.25	5.69	0.00
3.68	46.60	3.15	18.36	26.92	0.00	3.95	2.58	0.00
4.20	48.00	3.00	21.05	25.81	0.00	2.74	1.25	0.00
