# Distance = 17.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.34	35.50	2.10	-1.58	41.97	0.00	3.78	934.63	0.00
0.67	62.40	4.20	-2.80	62.24	0.00	3.99	735.05	0.00
1.00	90.70	3.80	-3.84	80.39	0.00	4.19	565.71	0.00
1.32	104.00	2.00	-4.72	86.90	0.00	4.39	426.63	0.00
1.65	105.00	2.40	-5.53	92.21	0.00	4.59	379.56	0.00
1.98	108.00	2.00	-6.26	98.26	0.00	4.80	356.73	0.00
2.31	116.00	2.30	-6.95	105.08	0.00	5.03	324.56	0.00
2.63	130.00	3.30	-7.45	112.31	0.00	5.30	313.54	0.00
2.96	141.00	2.20	-7.73	121.21	0.00	5.60	291.35	0.00
3.28	146.00	1.60	-7.70	129.48	0.00	5.89	267.64	0.00
3.61	150.00	1.40	-7.21	137.41	0.00	6.22	237.08	0.00
3.94	152.00	1.10	-5.70	143.85	0.00	6.50	203.58	0.00
4.27	155.00	1.30	-3.14	148.23	0.00	6.64	167.76	0.00
4.60	152.00	1.80	2.81	150.07	0.00	6.75	135.40	0.00
4.94	150.00	2.40	5.44	149.79	0.00	6.98	108.33	0.00
5.30	147.00	5.50	8.34	147.85	0.00	7.28	88.44	0.00
5.63	145.00	3.80	11.34	145.99	0.00	7.42	80.36	0.00
5.96	152.00	4.10	13.73	145.72	0.00	7.42	73.42	0.00
6.27	149.00	1.40	15.43	145.26	0.00	7.35	63.15	0.00
8.24	149.00	4.00	24.24	136.75	0.00	6.87	23.82	0.00
10.30	146.00	4.00	31.15	123.79	0.00	6.25	11.23	0.00
11.13	149.00	3.20	34.07	119.88	0.00	5.97	8.66	0.00
11.95	152.00	2.80	37.36	116.46	0.00	5.47	5.98	0.00
12.72	153.00	2.40	39.44	112.54	0.00	4.63	3.85	0.00
13.58	156.00	2.20	40.29	108.33	0.00	4.01	2.84	0.00
14.43	158.00	2.80	41.26	104.73	0.00	3.36	2.01	0.00
15.29	158.00	3.10	41.44	101.40	0.00	2.86	1.41	0.00
16.02	159.00	3.80	41.52	98.70	0.00	2.43	0.96	0.00
16.88	161.00	3.60	41.04	95.60	0.00	2.02	0.61	0.00
17.73	163.00	4.00	40.39	92.80	0.00	1.76	0.44	0.00
18.59	162.00	4.80	39.97	90.22	0.00	1.57	0.30	0.00
19.32	164.00	5.70	39.78	88.19	0.00	1.42	0.22	0.00
20.18	165.00	7.00	39.70	85.97	0.00	1.24	0.15	0.00
21.04	166.00	6.30	39.42	83.91	0.00	1.01	0.10	0.00
21.89	163.00	7.00	38.66	82.02	0.00	0.87	0.07	0.00
22.63	159.00	8.50	38.23	80.48	0.00	0.81	0.05	0.00
23.48	155.00	9.10	38.17	78.82	0.00	0.67	0.04	0.00
24.34	154.00	8.00	37.53	77.24	0.00	0.55	0.03	0.00
25.19	149.00	5.40	36.92	75.78	0.00	0.48	0.02	0.00
25.93	153.00	3.10	36.59	74.58	0.00	0.40	0.01	0.00
26.78	156.00	3.00	35.91	73.27	0.00	0.31	0.01	0.00
27.64	151.00	9.40	35.28	72.03	0.00	0.31	0.01	0.00
28.37	158.00	7.70	35.39	71.02	0.00	0.26	0.00	0.00
29.23	152.00	3.40	36.49	69.88	0.00	0.22	0.00	0.00
