# Distance = 57.1 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.32	284.00	34.70	0.31	27.53	189.88	5.68	1402.59	19827.42
0.63	282.00	18.80	1.36	50.89	292.13	5.66	1303.47	10165.91
0.95	281.00	12.60	2.10	72.33	320.60	5.65	1208.50	5354.80
1.26	280.00	10.60	2.78	90.93	326.59	5.63	1123.10	3300.36
1.58	280.00	10.80	3.43	108.22	325.90	5.61	1041.27	2103.94
1.89	279.00	7.67	4.05	123.33	320.40	5.60	967.69	1429.43
2.21	279.00	11.20	4.70	137.45	313.32	5.58	897.18	1006.49
2.52	279.00	4.45	5.31	149.83	305.50	5.56	833.78	748.35
2.84	279.00	5.03	5.92	161.41	297.22	5.54	773.03	612.35
3.15	279.00	4.26	6.51	171.57	290.70	5.53	718.39	534.72
3.47	279.00	4.14	7.13	181.09	286.88	5.51	666.05	422.40
3.79	279.00	5.73	7.73	189.72	283.42	5.49	617.52	288.59
4.10	280.00	4.52	8.31	197.32	279.37	5.48	573.89	189.15
4.42	280.00	4.86	8.93	204.49	274.03	5.46	532.06	95.70
4.73	280.00	1.59	9.50	210.67	267.50	5.44	487.58	49.26
5.05	281.00	1.85	10.09	215.36	260.40	5.43	441.24	24.96
5.36	282.00	4.81	10.70	218.85	253.49	5.41	408.32	12.96
5.68	282.00	20.30	11.29	222.02	246.69	5.39	380.67	6.52
5.99	283.00	12.80	11.86	224.98	240.45	5.38	359.58	3.40
6.31	284.00	8.08	12.50	228.24	234.35	5.36	341.54	1.71
6.62	284.00	7.81	13.09	231.94	228.92	5.34	326.70	0.89
6.94	285.00	10.40	13.69	235.95	223.68	5.32	306.23	0.45
7.57	286.00	6.82	14.90	242.47	214.14	5.29	257.47	0.12
7.89	287.00	13.40	15.55	243.95	209.75	5.27	227.66	0.06
8.20	287.00	10.50	16.21	244.08	205.73	5.26	209.07	0.03
8.31	288.00	2.93	16.46	244.09	204.35	5.25	204.24	0.02
8.52	288.00	5.58	16.93	244.26	201.86	5.23	197.13	0.02
8.83	288.00	5.74	17.60	245.20	198.26	5.19	187.41	0.01
9.15	288.00	7.00	18.24	246.04	194.78	5.15	171.33	0.00
9.78	289.00	12.70	19.50	245.29	188.37	5.07	138.98	0.00
10.10	289.00	3.89	20.12	244.00	185.30	5.02	127.27	0.00
11.04	288.00	5.02	21.80	239.25	177.32	4.87	102.81	0.00
11.36	288.00	3.39	22.33	237.58	174.80	4.81	97.25	0.00
11.67	288.00	10.70	22.80	236.15	172.47	4.76	92.94	0.00
13.57	285.00	4.07	25.24	230.19	159.94	4.44	69.68	0.00
13.88	284.00	8.92	25.58	229.25	158.15	4.40	65.64	0.00
14.20	284.00	5.69	25.90	228.10	156.35	4.35	61.84	0.00
16.61	278.00	9.14	28.34	219.68	144.57	4.06	45.35	0.00
19.35	273.00	6.10	30.98	212.37	133.94	3.85	26.39	0.00
22.19	269.00	2.26	34.51	201.78	125.08	3.68	19.60	0.00
24.92	265.00	1.32	38.67	194.40	118.03	3.43	14.04	0.00
27.66	262.00	3.15	42.62	187.16	112.03	2.98	9.81	0.00
30.50	257.00	4.71	44.86	179.93	106.69	2.41	6.71	0.00
33.23	252.00	4.96	45.00	173.07	102.21	1.92	4.38	0.00
35.96	247.00	2.58	43.61	166.06	98.25	1.61	2.89	0.00
38.80	242.00	2.52	41.89	159.33	94.59	1.46	1.90	0.00
41.54	238.00	2.30	40.90	153.37	91.42	1.45	1.28	0.00
44.27	235.00	0.63	41.48	147.92	88.55	1.44	0.87	0.00
47.11	236.00	1.40	43.03	142.73	85.84	1.38	0.58	0.00
49.84	239.00	2.07	43.92	138.16	83.46	1.18	0.39	0.00
52.58	242.00	2.63	42.83	133.96	81.25	1.10	0.26	0.00
55.42	245.00	1.64	42.50	129.96	79.14	1.10	0.18	0.00
58.15	247.00	1.31	43.82	126.44	77.26	1.13	0.12	0.00
60.89	246.00	2.14	46.14	123.18	75.51	1.02	0.08	0.00
63.62	243.00	4.00	46.90	120.17	73.87	0.88	0.05	0.00
66.46	239.00	4.67	46.62	117.27	72.27	0.77	0.04	0.00
69.19	234.00	5.12	46.12	114.69	70.83	0.71	0.02	0.00
71.93	230.00	2.10	45.99	112.26	69.47	0.67	0.02	0.00
74.77	228.00	1.32	46.28	109.92	68.14	0.64	0.01	0.00
77.50	228.00	1.60	46.91	107.80	66.93	0.59	0.01	0.00
80.23	227.00	3.16	47.40	105.81	65.78	0.53	0.01	0.00
83.07	226.00	3.48	47.65	103.86	64.64	0.46	0.00	0.00
85.81	224.00	3.71	47.55	102.08	63.60	0.40	0.00	0.00
88.54	222.00	1.49	47.36	100.40	62.62	0.34	0.00	0.00
91.38	222.00	1.18	46.81	98.74	61.64	0.29	0.00	0.00
94.12	224.00	1.22	46.30	97.22	60.73	0.26	0.00	0.00
99.69	227.00	2.80	45.98	94.35	59.01	0.20	0.00	0.00
108.31	229.00	4.12	45.74	90.37	56.61	0.00	0.00	0.00
