# Distance = 15.4 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.87	27.70	3.00	6.63	18.18	0.00	4.18	9.38	0.00
3.36	42.40	1.50	11.45	19.74	0.00	3.75	3.58	0.00
4.86	52.50	1.00	15.67	19.94	0.00	3.08	2.02	0.00
6.35	55.60	1.00	18.87	19.17	0.00	2.31	0.91	0.00
7.85	58.60	1.10	20.71	18.70	0.00	1.54	0.47	0.00
9.34	59.00	1.20	21.28	17.41	0.00	0.90	0.18	0.00
10.83	60.00	1.30	20.80	16.04	0.00	0.44	0.09	0.00
12.33	62.20	1.00	20.40	15.00	0.00	0.00	0.00	0.00
