# Distance = 22.9 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.13	232.00	33.40	-0.66	8.34	149.99	5.16	789.02	34497.80
0.25	233.00	16.90	-0.53	15.63	220.78	5.17	767.45	20300.24
0.38	234.00	14.60	0.10	23.13	253.99	5.17	744.75	12406.57
0.51	235.00	10.60	0.56	30.26	269.15	5.19	722.72	8657.54
0.63	236.00	9.12	0.84	36.54	276.27	5.20	702.97	6495.51
0.76	237.00	10.30	1.11	43.05	278.60	5.20	682.17	5042.31
0.89	238.00	9.95	1.33	49.27	279.31	5.21	662.00	4041.77
1.01	239.00	3.51	1.57	54.77	280.44	5.22	643.90	3369.65
1.14	240.00	3.18	1.83	60.49	280.12	5.22	624.86	2769.16
1.27	240.00	5.19	2.06	65.97	277.94	5.23	606.37	2377.10
1.39	241.00	3.54	2.30	70.83	277.61	5.23	589.80	2088.11
1.52	242.00	2.60	2.54	75.88	276.52	5.24	572.35	1763.10
1.65	242.00	1.75	2.79	80.74	274.47	5.24	555.42	1547.08
1.77	243.00	1.94	3.01	85.04	272.42	5.25	540.24	1396.25
1.90	244.00	3.09	3.27	89.53	270.29	5.25	524.26	1264.29
2.03	244.00	1.60	3.52	93.84	268.35	5.26	508.76	1155.08
2.16	244.00	3.00	3.78	97.98	266.67	5.26	493.71	1069.65
2.28	245.00	2.19	4.01	101.66	265.58	5.27	480.21	994.58
2.41	245.00	3.01	4.28	105.50	264.78	5.27	466.01	911.52
2.54	246.00	2.64	4.54	109.19	264.37	5.29	452.22	823.77
2.66	246.00	2.38	4.81	112.46	264.00	5.29	439.86	744.22
2.79	246.00	3.72	5.06	115.88	263.68	5.29	426.85	660.00
2.92	247.00	3.54	5.32	119.16	263.16	5.30	414.23	582.56
3.04	247.00	3.74	5.59	122.08	262.58	5.30	402.90	515.24
3.17	247.00	5.11	5.85	125.12	261.72	5.30	390.98	447.13
3.30	247.00	3.63	6.12	128.05	260.64	5.31	379.43	390.04
3.42	247.00	3.84	6.39	130.65	259.42	5.31	369.05	346.72
3.55	248.00	5.12	6.66	133.35	257.92	5.31	358.13	306.25
3.68	248.00	2.77	6.92	135.96	256.73	5.31	347.54	261.67
3.80	248.00	3.24	7.17	138.27	255.39	5.32	338.03	221.06
3.93	248.00	6.79	7.47	140.68	253.66	5.32	328.04	184.97
4.06	248.00	8.39	7.75	142.99	251.85	5.32	318.34	152.68
4.18	248.00	2.73	8.01	145.04	249.97	5.32	309.63	127.51
4.31	248.00	13.70	8.27	147.18	247.82	5.32	300.48	105.36
4.44	248.00	4.89	8.55	149.24	245.63	5.33	291.59	85.30
4.56	248.00	5.71	8.84	151.07	243.50	5.33	283.61	69.26
4.69	248.00	15.10	9.13	152.97	241.12	5.33	275.22	55.53
4.82	248.00	10.50	9.43	154.80	238.76	5.33	267.10	44.24
4.94	248.00	1.58	9.70	156.43	236.51	5.33	259.78	33.76
4.99	248.00	4.77	9.81	157.09	235.57	5.33	256.79	30.21
5.07	248.00	4.36	9.99	158.13	234.04	5.33	252.09	25.33
5.20	248.00	8.45	10.28	159.77	231.52	5.33	244.64	19.11
5.45	247.00	8.25	10.85	162.71	226.76	5.33	228.88	10.99
5.58	247.00	2.34	11.15	164.01	224.24	5.33	219.73	8.25
5.70	247.00	2.34	11.43	165.01	222.01	5.33	210.92	6.36
5.83	247.00	6.13	11.74	165.83	219.54	5.33	201.41	4.80
6.47	247.00	6.89	13.32	169.32	208.79	5.33	180.58	1.17
6.59	246.00	5.95	13.65	170.14	206.90	5.33	177.24	0.89
6.66	246.00	2.29	13.85	170.64	205.85	5.32	175.39	0.77
6.72	246.00	4.73	14.00	171.08	204.88	5.32	173.85	0.67
6.85	246.00	3.02	14.35	172.06	202.98	5.31	170.68	0.51
6.97	246.00	5.81	14.65	173.03	201.26	5.30	167.96	0.39
7.10	246.00	6.32	14.98	174.14	199.41	5.28	164.62	0.29
7.23	246.00	8.92	15.31	175.26	197.66	5.27	160.61	0.22
8.32	246.00	2.13	18.00	182.54	184.24	5.14	121.40	0.02
10.00	245.00	2.18	21.69	183.59	168.07	4.83	79.12	0.00
11.61	245.00	0.94	24.59	182.92	155.97	4.49	46.64	0.00
13.35	246.00	2.02	26.86	173.29	145.45	4.04	28.47	0.00
14.98	245.00	1.33	27.98	164.56	137.31	3.79	21.41	0.00
16.61	245.00	1.36	29.42	157.52	130.40	3.63	17.84	0.00
18.34	245.00	1.59	31.40	152.75	124.10	3.47	16.28	0.00
19.97	245.00	2.03	33.45	150.07	118.93	3.33	12.88	0.00
21.60	245.00	2.36	35.77	146.28	114.35	3.13	10.52	0.00
23.33	244.00	4.61	37.92	143.03	110.03	2.85	8.66	0.00
26.70	243.00	10.60	40.68	136.93	102.85	2.26	5.39	0.00
29.95	239.00	17.00	41.29	130.32	97.11	1.76	3.23	0.00
33.32	231.00	18.30	40.80	123.69	92.07	1.50	2.03	0.00
36.68	219.00	12.10	41.06	117.57	87.75	1.29	1.23	0.00
39.94	210.00	7.50	41.04	111.92	84.09	1.11	0.83	0.00
43.30	210.00	3.56	41.02	107.37	80.76	1.08	0.78	0.00
46.67	212.00	2.64	43.14	103.96	77.79	1.03	0.53	0.00
49.92	213.00	6.50	46.23	101.06	75.22	0.89	0.32	0.00
53.29	218.00	6.53	57.91	96.33	72.80	0.74	0.00	0.00
