# Distance = 3.27 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.12	4.20	3.15	-0.22	3.93	0.00	8.46	51.70	0.00
0.36	9.41	1.83	-0.42	11.20	0.00	8.62	47.22	0.00
0.59	15.30	1.37	1.46	15.90	0.00	9.35	35.13	0.00
0.83	18.40	1.64	3.64	19.68	0.00	9.73	28.17	0.00
1.07	23.40	2.08	5.67	22.21	0.00	10.36	17.57	0.00
1.31	28.10	2.46	8.43	23.34	0.00	10.86	11.56	0.00
1.54	33.10	2.01	11.15	22.76	0.00	10.61	7.62	0.00
1.79	37.50	1.62	13.60	22.47	0.00	10.03	5.72	0.00
2.02	40.50	1.68	15.47	22.28	0.00	9.10	4.38	0.00
2.26	42.30	1.69	16.74	22.00	0.00	8.02	2.95	0.00
2.49	45.20	1.91	17.46	21.30	0.00	7.33	1.90	0.00
2.74	47.40	1.95	18.28	20.53	0.00	6.90	1.32	0.00
2.97	48.10	1.74	19.24	19.84	0.00	6.45	0.93	0.00
3.21	48.80	1.08	20.13	19.12	0.00	5.81	0.64	0.00
3.44	50.70	1.55	20.75	18.47	0.00	5.32	0.45	0.00
3.69	52.10	2.78	21.35	17.79	0.00	4.74	0.31	0.00
3.92	53.00	2.98	21.71	17.20	0.00	4.27	0.22	0.00
4.16	53.70	2.39	21.96	16.63	0.00	3.81	0.15	0.00
4.40	51.20	2.21	22.05	16.11	0.00	3.47	0.10	0.00
4.64	51.60	1.45	22.28	15.61	0.00	3.30	0.07	0.00
4.87	51.50	1.84	22.74	15.18	0.00	3.05	0.05	0.00
5.11	50.40	2.53	23.10	14.76	0.00	2.64	0.03	0.00
5.35	48.50	4.60	23.13	14.37	0.00	2.29	0.02	0.00
5.59	50.00	5.91	23.03	14.01	0.00	1.99	0.02	0.00
5.82	49.00	7.42	22.84	13.70	0.00	1.78	0.01	0.00
6.06	49.40	5.92	22.70	13.37	0.00	1.65	0.00	0.00
