# Distance = 9.9 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.72	125.00	17.60	2.36	201.72	0.00	6.52	4090.86	0.00
1.43	162.00	8.50	3.56	240.29	0.00	6.21	2093.51	0.00
2.16	178.00	5.22	3.59	268.27	0.00	6.18	1501.12	0.00
2.87	193.00	1.88	4.62	283.92	0.00	6.29	900.39	0.00
3.59	192.00	3.59	4.99	279.20	0.00	6.20	619.74	0.00
4.30	190.00	0.97	3.26	276.84	0.00	6.50	519.56	0.00
5.03	195.00	0.99	6.54	278.18	0.00	7.34	419.40	0.00
5.75	201.00	0.45	12.90	280.17	0.00	7.66	348.04	0.00
6.46	204.00	0.81	17.27	282.71	0.00	7.51	263.09	0.00
7.18	204.00	0.65	20.37	278.30	0.00	7.34	206.04	0.00
7.91	206.00	0.66	23.45	274.58	0.00	7.09	161.30	0.00
8.62	206.00	1.54	25.84	269.89	0.00	6.57	129.46	0.00
11.49	206.00	1.90	29.51	247.71	0.00	5.80	52.78	0.00
14.30	206.00	0.42	41.39	227.19	0.00	4.99	25.22	0.00
17.19	203.00	4.19	42.87	210.41	0.00	2.58	9.49	0.00
20.07	200.00	1.23	40.02	192.17	0.00	1.63	3.74	0.00
22.96	194.00	4.09	36.15	177.55	0.00	1.10	1.50	0.00
25.85	188.00	5.20	33.35	165.68	0.00	1.35	0.61	0.00
28.74	184.00	1.16	34.41	155.89	0.00	1.42	0.25	0.00
31.62	182.00	2.47	36.03	147.72	0.00	1.22	0.10	0.00
34.51	180.00	3.85	38.20	140.75	0.00	0.96	0.04	0.00
37.40	181.00	8.43	36.09	134.74	0.00	0.81	0.02	0.00
40.29	180.00	4.55	37.21	129.47	0.00	0.84	0.01	0.00
43.17	179.00	0.44	38.34	124.83	0.00	0.71	0.00	0.00
45.92	179.00	1.96	39.78	120.84	0.00	0.58	0.00	0.00
48.81	179.00	2.99	39.81	117.06	0.00	0.30	0.00	0.00
51.70	174.00	3.39	39.60	113.62	0.00	0.20	0.00	0.00
54.59	172.00	4.84	36.88	110.47	0.00	0.00	0.00	0.00
