# Distance = 13.8 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.32	24.40	35.90	-1.17	63.37	0.00	3.42	1084.92	0.00
0.64	43.30	16.30	-2.03	73.65	0.00	3.55	590.57	0.00
0.96	45.50	16.10	-2.76	79.01	0.00	3.67	410.97	0.00
1.28	58.50	15.40	-3.38	82.73	0.00	3.79	329.34	0.00
1.61	68.80	7.61	-3.90	85.15	0.00	3.91	268.62	0.00
1.93	76.90	10.30	-4.31	86.76	0.00	4.02	247.67	0.00
2.24	82.00	8.09	-4.61	89.07	0.00	4.13	227.56	0.00
2.57	86.90	7.60	-4.82	91.52	0.00	4.25	205.02	0.00
2.89	97.60	3.03	-4.91	91.88	0.00	4.36	200.20	0.00
3.21	100.00	5.31	-4.87	95.92	0.00	4.47	208.58	0.00
3.54	107.00	7.51	-4.67	103.18	0.00	4.58	208.47	0.00
3.85	113.00	7.32	-4.25	110.49	0.00	4.68	196.07	0.00
4.17	117.00	5.21	-3.46	116.80	0.00	4.78	179.96	0.00
4.50	119.00	5.67	-2.03	121.98	0.00	4.86	164.19	0.00
4.82	127.00	5.39	2.30	126.44	0.00	4.94	150.99	0.00
5.15	132.00	4.34	4.11	130.61	0.00	5.02	138.08	0.00
5.46	134.00	2.36	5.44	134.19	0.00	5.09	126.00	0.00
5.78	137.00	0.89	6.68	137.47	0.00	5.15	113.63	0.00
6.10	140.00	2.84	7.83	140.32	0.00	5.21	101.19	0.00
6.43	142.00	0.88	9.00	142.61	0.00	5.26	86.52	0.00
6.74	144.00	1.23	10.09	143.19	0.00	5.31	70.23	0.00
7.06	146.00	1.57	11.21	141.67	0.00	5.36	57.67	0.00
8.04	147.00	3.00	14.75	136.38	0.00	5.46	40.74	0.00
9.04	148.00	3.00	18.35	131.49	0.00	5.46	31.83	0.00
10.04	152.00	2.00	21.86	128.71	0.00	5.38	26.64	0.00
11.04	155.00	2.00	25.16	127.25	0.00	5.17	21.02	0.00
12.05	156.00	2.00	28.06	125.46	0.00	4.86	15.42	0.00
14.05	157.00	2.00	31.99	118.61	0.00	4.02	6.42	0.00
16.07	153.00	2.00	33.27	108.66	0.00	3.33	2.95	0.00
18.13	153.00	2.00	34.30	101.52	0.00	3.04	2.39	0.00
20.05	154.00	2.00	36.01	96.83	0.00	2.71	1.44	0.00
22.12	153.00	2.00	36.88	91.93	0.00	2.33	0.72	0.00
24.03	150.00	2.00	37.58	87.40	0.00	2.18	0.28	0.00
26.10	149.00	2.00	39.68	83.05	0.00	2.00	0.16	0.00
28.16	148.00	2.00	41.16	79.40	0.00	1.59	0.08	0.00
30.08	146.00	2.00	40.57	76.42	0.00	1.27	0.04	0.00
32.14	147.00	2.00	39.69	73.59	0.00	1.17	0.02	0.00
34.06	148.00	2.00	40.28	71.23	0.00	1.14	0.01	0.00
36.12	148.00	2.00	41.62	68.95	0.00	1.01	0.01	0.00
38.19	149.00	2.00	42.78	66.88	0.00	0.84	0.00	0.00
40.10	150.00	2.00	44.39	65.14	0.00	0.70	0.00	0.00
42.17	150.00	3.00	44.21	63.41	0.00	0.00	0.00	0.00
44.08	149.00	3.00	39.90	61.93	0.00	0.00	0.00	0.00
