# Distance = 4.74 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.35	14.40	2.82	-1.48	15.76	0.00	4.28	56.53	0.00
0.69	24.40	3.97	-2.10	18.30	0.00	4.61	44.84	0.00
1.03	29.20	3.26	-2.42	20.68	0.00	4.82	32.22	0.00
1.38	32.90	3.73	-1.72	22.28	0.00	5.10	27.67	0.00
1.72	37.80	3.41	1.75	24.31	0.00	5.14	25.99	0.00
2.07	42.00	3.12	-0.75	26.56	0.00	5.15	22.39	0.00
2.41	45.10	2.92	1.40	28.04	0.00	5.62	20.55	0.00
2.76	47.60	2.79	4.34	30.16	0.00	6.09	18.07	0.00
3.10	52.30	2.78	7.72	31.20	0.00	6.43	15.57	0.00
3.45	57.30	2.78	10.76	31.99	0.00	6.68	12.54	0.00
3.79	61.40	2.93	13.93	32.20	0.00	6.55	12.28	0.00
4.14	64.50	3.42	16.28	33.13	0.00	6.06	11.31	0.00
4.48	66.40	4.53	17.61	33.82	0.00	5.54	9.91	0.00
4.82	66.90	5.46	18.61	34.06	0.00	5.03	9.11	0.00
5.17	69.40	4.77	18.67	34.91	0.00	4.50	8.81	0.00
5.51	70.20	4.44	18.23	35.44	0.00	4.24	7.22	0.00
5.86	70.90	4.24	17.73	35.24	0.00	4.33	6.61	0.00
6.20	72.30	4.38	18.15	35.47	0.00	4.48	6.55	0.00
6.55	73.90	3.51	19.19	35.93	0.00	4.65	6.11	0.00
6.89	75.00	3.22	20.52	36.33	0.00	4.69	5.70	0.00
7.25	75.50	3.23	22.08	36.85	0.00	4.62	5.38	0.00
7.58	77.10	2.98	23.20	37.43	0.00	4.52	5.05	0.00
7.94	77.00	2.79	24.60	38.06	0.00	4.47	4.60	0.00
8.27	77.00	2.82	26.14	38.64	0.00	4.41	4.17	0.00
8.63	78.20	2.93	27.85	39.20	0.00	4.14	3.71	0.00
8.97	79.60	3.14	29.24	39.75	0.00	3.82	3.27	0.00
9.30	80.30	3.39	30.23	40.39	0.00	3.51	2.87	0.00
9.66	81.20	3.66	31.12	41.52	0.00	3.15	2.45	0.00
9.99	82.30	3.90	31.87	39.56	0.00	2.82	0.00	0.00
10.35	83.80	4.10	32.24	37.60	0.00	2.42	0.00	0.00
