# Distance = 100.4 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.77	35.10	3.96	2.10	21.21	133.76	3.58	342.70	2678.70
1.59	77.90	3.95	3.27	41.34	176.62	3.29	329.63	948.63
2.36	115.00	6.70	3.34	58.81	176.92	3.02	317.82	463.05
3.13	156.00	3.16	-1.71	75.35	172.53	2.78	306.42	349.20
3.95	192.00	3.14	-5.86	92.34	173.49	2.70	294.74	188.22
4.73	204.00	2.90	-8.88	108.39	174.08	2.75	282.99	83.53
5.50	209.00	3.36	-11.43	121.72	167.74	2.94	263.32	24.93
6.27	220.00	3.25	-13.51	134.06	159.21	3.23	261.51	7.38
7.08	231.00	3.49	-15.30	152.37	150.44	3.63	259.77	2.06
7.86	235.00	4.65	-16.46	172.44	142.84	4.12	244.86	0.60
8.66	245.00	6.00	-16.48	189.35	136.33	4.72	215.77	0.17
9.45	246.00	5.57	-15.05	201.73	130.53	5.16	184.80	0.05
10.24	239.00	6.95	-12.89	210.09	125.41	5.53	154.52	0.01
11.02	240.00	7.16	-9.47	215.00	120.90	5.91	127.49	0.00
11.79	240.00	4.85	4.93	217.05	116.92	6.27	104.26	0.00
12.47	246.00	7.68	12.67	216.92	113.67	6.54	87.39	0.00
13.34	241.00	6.21	20.00	215.20	109.94	6.82	70.70	0.00
14.11	250.00	5.62	25.74	212.88	106.85	6.87	59.68	0.00
14.59	242.00	5.10	29.04	211.46	105.08	6.83	54.19	0.00
14.98	244.00	7.41	31.61	210.25	103.70	6.70	49.90	0.00
15.75	248.00	5.08	35.71	207.77	101.13	6.27	42.85	0.00
16.52	249.00	5.22	38.19	205.31	98.75	5.76	36.52	0.00
17.10	246.00	6.35	39.56	203.29	97.06	5.39	32.33	0.00
17.88	241.00	16.20	40.47	200.44	94.92	4.94	27.42	0.00
18.65	247.00	14.60	40.99	197.47	92.94	4.63	23.33	0.00
19.62	234.00	20.90	41.34	193.72	90.61	4.36	19.07	0.00
20.78	249.00	10.00	42.11	189.09	88.05	4.25	14.92	0.00
22.13	236.00	16.10	44.92	183.70	85.32	4.29	11.20	0.00
23.00	245.00	22.10	47.77	180.23	83.69	4.14	9.38	0.00
23.58	243.00	4.20	49.75	177.99	82.65	3.95	8.32	0.00
25.03	238.00	7.76	53.34	172.53	80.22	3.14	6.24	0.00
25.90	247.00	6.14	54.15	169.55	78.87	2.59	5.30	0.00
