# Distance = 7.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.51	143.00	33.10	-3.16	195.66	0.00	2.88	5592.84	0.00
0.69	160.00	15.00	-4.28	213.39	0.00	3.01	4363.43	0.00
0.86	178.00	7.92	-5.35	228.63	0.00	3.21	3675.14	0.00
1.03	188.00	8.01	-6.37	242.29	0.00	3.52	2808.28	0.00
1.20	187.00	8.03	-7.21	244.89	0.00	3.95	2150.50	0.00
1.38	195.00	5.60	-7.85	248.01	0.00	4.44	2033.53	0.00
1.55	199.00	7.52	-8.22	253.75	0.00	4.84	1846.64	0.00
1.71	203.00	6.87	-8.45	259.31	0.00	5.17	1668.78	0.00
1.89	206.00	9.22	-8.59	264.90	0.00	5.49	1505.22	0.00
2.06	211.00	12.00	-8.60	271.47	0.00	5.74	1378.94	0.00
2.23	219.00	13.30	-8.60	277.00	0.00	5.90	1175.03	0.00
2.41	216.00	9.90	-8.75	278.11	0.00	6.03	926.08	0.00
2.58	214.00	10.50	-9.13	276.40	0.00	6.18	830.56	0.00
2.75	213.00	8.39	-9.60	275.49	0.00	6.44	769.64	0.00
2.92	210.00	13.30	-9.87	275.56	0.00	6.87	727.61	0.00
3.09	214.00	6.67	-9.61	276.50	0.00	7.41	682.48	0.00
3.26	213.00	9.98	-8.44	278.06	0.00	7.92	633.60	0.00
3.43	212.00	11.20	-6.16	279.50	0.00	8.29	575.82	0.00
3.61	215.00	9.11	2.12	280.63	0.00	8.48	523.07	0.00
3.78	217.00	10.10	6.74	281.87	0.00	8.50	481.98	0.00
3.95	219.00	8.05	9.06	283.28	0.00	8.44	430.64	0.00
4.12	220.00	8.29	10.66	283.84	0.00	8.37	369.64	0.00
4.29	218.00	8.42	12.06	282.99	0.00	8.37	310.22	0.00
4.46	220.00	9.71	13.52	281.04	0.00	8.39	258.02	0.00
4.64	220.00	20.10	15.16	277.62	0.00	8.28	208.23	0.00
4.81	216.00	23.50	16.43	273.59	0.00	8.04	177.50	0.00
4.98	220.00	14.60	17.23	269.43	0.00	7.71	157.71	0.00
5.15	218.00	12.20	17.65	265.69	0.00	7.45	143.45	0.00
5.32	213.00	23.10	17.85	262.05	0.00	7.29	128.98	0.00
5.49	215.00	21.20	18.01	258.57	0.00	7.20	118.36	0.00
5.67	216.00	18.30	18.25	255.22	0.00	7.16	108.99	0.00
5.84	208.00	31.70	18.51	252.24	0.00	7.12	100.28	0.00
6.01	212.00	25.30	18.77	249.44	0.00	7.11	93.06	0.00
6.19	213.00	23.80	19.05	246.78	0.00	7.13	85.94	0.00
6.35	216.00	19.60	19.43	244.46	0.00	7.20	77.79	0.00
6.64	210.00	25.00	20.46	239.91	0.00	7.34	62.26	0.00
8.82	210.00	10.70	30.26	210.65	0.00	6.45	27.97	0.00
11.07	210.00	10.70	37.62	188.92	0.00	4.65	11.92	0.00
13.32	206.00	6.25	39.87	172.83	0.00	2.84	6.19	0.00
15.49	206.00	6.25	39.33	160.05	0.00	1.33	1.91	0.00
17.74	206.00	10.70	36.63	148.10	0.00	0.82	0.00	0.00
