# Distance = 9.81 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
2.89	189.00	10.00	6.66	203.78	89.57	2.82	754.18	0.00
5.77	212.00	5.00	18.97	229.16	63.44	2.55	149.47	0.00
8.66	206.00	5.00	15.51	197.62	51.78	1.52	56.13	0.00
11.54	200.00	5.00	21.23	184.71	44.86	1.80	16.07	0.00
14.43	172.00	12.00	22.56	160.09	40.12	0.84	3.58	0.00
17.31	190.00	10.00	22.36	143.47	36.63	0.40	0.93	0.00
20.20	169.00	10.00	20.54	130.97	33.91	0.00	0.25	0.00
23.08	150.00	10.00	18.02	121.37	31.72	0.00	0.07	0.00
28.85	160.00	10.00	15.33	107.42	28.37	0.00	0.00	0.00
31.74	155.00	10.00	14.44	102.11	27.05	0.00	0.00	0.00
34.62	151.00	12.00	13.70	97.56	25.90	0.00	0.00	0.00
