# Distance = 90.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.44	15.70	9.10	-1.55	12.81	0.00	4.95	106.90	0.00
1.32	44.50	9.10	-3.79	29.75	0.00	5.34	63.02	0.00
2.20	69.40	9.10	-5.17	37.44	0.00	5.82	42.29	0.00
3.08	90.00	11.40	-5.40	41.95	0.00	6.41	26.68	0.00
3.96	105.00	9.88	-2.23	43.14	0.00	7.09	21.21	0.00
4.84	113.00	16.20	8.88	44.43	0.00	7.67	17.46	0.00
5.53	117.00	24.80	13.13	45.26	0.00	7.91	15.02	0.00
7.48	124.00	9.10	24.10	49.66	0.00	7.91	11.77	0.00
8.37	127.00	9.10	28.45	51.23	0.00	7.49	9.24	0.00
9.24	130.00	9.10	31.96	51.81	0.00	6.94	7.50	0.00
10.13	133.00	9.10	35.17	52.08	0.00	6.29	6.21	0.00
13.23	142.00	23.80	41.99	55.56	0.00	3.82	0.00	0.00
