# Distance = 6.87 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.50	24.20	2.18	-2.07	25.13	0.00	4.24	172.05	0.00
1.00	42.00	2.91	-4.93	39.67	0.00	4.80	103.87	0.00
1.50	59.40	2.40	-5.74	46.48	0.00	6.61	68.90	0.00
2.00	63.90	2.01	5.85	50.24	0.00	8.34	36.21	0.00
2.49	66.00	2.00	12.91	49.66	0.00	8.25	25.57	0.00
3.00	67.20	2.07	16.56	48.84	0.00	6.92	18.72	0.00
3.49	68.70	2.38	18.68	47.58	0.00	6.36	13.41	0.00
4.00	71.30	2.91	21.66	46.58	0.00	5.54	12.45	0.00
4.49	72.50	3.21	23.19	47.69	0.00	4.29	11.31	0.00
5.01	74.00	3.41	23.94	48.96	0.00	3.55	7.93	0.00
5.50	76.20	3.17	25.13	49.01	0.00	2.87	5.14	0.00
