# Distance = 16.5 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.09	231.00	52.90	-0.32	13.00	80.49	1.03	2854.66	29242.18
0.17	231.00	27.90	-0.38	23.96	154.33	1.02	2790.99	23293.66
0.26	231.00	16.40	-0.43	35.70	203.79	1.02	2721.04	15656.33
0.34	231.00	11.90	-0.49	45.67	224.63	1.01	2660.34	11345.04
0.43	232.00	8.04	-0.62	56.41	236.57	1.00	2593.68	8539.84
0.51	232.00	6.53	-0.74	65.57	243.18	1.00	2535.82	6949.05
0.60	232.00	4.75	-0.88	75.47	248.89	0.99	2472.27	5592.32
0.69	232.00	4.00	-1.04	84.97	252.61	0.99	2410.31	4572.83
0.77	233.00	5.69	-1.17	93.10	255.01	0.98	2356.55	3849.38
0.86	233.00	4.83	-1.34	101.91	256.40	0.98	2297.49	3221.94
0.95	234.00	10.80	-1.51	110.39	257.17	0.96	2239.91	2765.52
1.03	235.00	10.30	-1.68	117.67	258.40	0.97	2189.95	2416.65
1.11	235.00	10.60	-1.83	124.71	258.76	0.97	2141.10	2096.14
1.20	236.00	10.20	-2.00	132.36	259.47	0.96	2087.44	1752.88
1.29	237.00	10.60	-2.19	139.74	259.74	0.96	2035.12	1444.87
1.38	238.00	14.20	-2.37	146.85	259.48	0.95	1984.12	1174.70
1.46	238.00	14.10	-2.54	152.97	258.65	0.95	1939.86	969.16
1.55	239.00	19.60	-2.75	159.63	257.13	0.94	1891.24	770.65
1.63	240.00	17.80	-2.93	165.36	255.36	0.94	1849.06	629.73
1.72	241.00	7.14	-3.13	171.59	252.89	0.94	1802.72	495.74
1.80	242.00	11.90	-3.31	176.97	250.43	0.94	1761.95	402.06
1.89	243.00	10.90	-3.51	182.77	247.35	0.94	1714.43	316.59
1.98	244.00	17.60	-3.72	188.29	244.09	0.94	1667.11	250.14
2.07	246.00	11.40	-3.94	193.54	240.73	0.94	1623.57	196.88
2.15	247.00	12.90	-4.13	198.03	237.68	0.94	1586.83	160.14
2.23	248.00	15.40	-4.33	202.38	234.62	0.94	1552.18	129.09
2.32	249.00	17.60	-4.57	207.11	231.17	0.94	1515.57	101.99
2.40	251.00	24.00	-4.80	211.22	228.14	0.94	1486.19	82.62
2.49	252.00	10.10	-5.06	215.82	224.74	0.96	1458.28	65.01
2.58	253.00	12.00	-5.31	220.50	221.41	0.97	1434.78	51.48
2.67	254.00	6.34	-5.55	225.31	218.17	0.99	1411.07	40.48
2.75	256.00	6.22	-5.76	229.66	215.36	1.00	1389.95	32.75
2.83	257.00	5.60	-5.96	234.11	212.60	1.02	1369.56	26.62
2.92	259.00	8.73	-6.18	239.21	209.57	1.03	1340.18	20.95
3.00	260.00	5.19	-6.39	243.62	206.96	1.04	1307.37	16.93
3.09	262.00	11.00	-6.62	248.32	204.14	1.07	1265.52	13.39
3.18	263.00	16.00	-6.83	252.62	201.42	1.10	1221.25	10.58
3.27	264.00	13.10	-7.02	256.57	198.78	1.12	1179.29	8.31
3.35	266.00	11.80	-7.20	259.79	196.48	1.14	1141.12	6.73
3.43	267.00	12.70	-7.38	262.71	194.27	1.16	1102.13	5.47
4.21	280.00	5.52	-8.69	281.79	175.61	1.42	836.18	0.70
4.29	282.00	2.35	-8.81	283.22	173.97	1.45	814.59	0.56
4.38	283.00	5.10	-8.95	284.73	172.20	1.48	791.20	0.44
4.47	285.00	4.61	-9.07	286.14	170.45	1.53	768.76	0.35
4.80	290.00	10.80	-9.32	290.62	164.51	1.66	696.40	0.15
5.25	296.00	2.85	-9.56	296.23	157.31	1.82	616.38	0.04
5.32	298.00	1.92	-9.57	297.03	156.27	1.86	603.63	0.04
5.41	299.00	4.29	-9.57	297.98	154.97	1.89	587.34	0.03
5.50	300.00	4.92	-9.57	298.84	153.70	1.92	571.15	0.02
5.58	301.00	2.24	-9.56	299.52	152.59	1.96	556.91	0.02
5.67	302.00	4.59	-9.51	300.21	151.39	1.99	542.03	0.01
5.76	303.00	5.07	-9.46	300.84	150.21	2.02	527.59	0.01
6.00	306.00	7.89	-9.27	302.13	147.17	2.11	491.21	0.01
6.18	307.00	4.41	-9.01	302.74	145.01	2.17	466.92	0.00
6.27	308.00	3.20	-8.87	303.03	143.96	2.19	457.11	0.00
6.36	309.00	6.66	-8.73	303.32	142.94	2.23	448.27	0.00
6.45	310.00	5.83	-8.55	303.67	141.93	2.25	440.38	0.00
6.53	310.00	3.83	-8.39	304.06	141.06	2.27	434.17	0.00
6.61	311.00	2.41	-8.23	304.53	140.20	2.28	428.73	0.00
6.70	312.00	1.25	-8.03	305.22	139.26	2.31	423.51	0.00
6.79	312.00	3.61	-7.82	306.09	138.35	2.33	416.23	0.00
6.87	313.00	13.80	-7.59	306.84	137.53	2.35	406.98	0.00
6.96	313.00	4.58	-7.34	307.60	136.63	2.36	395.94	0.00
7.05	314.00	3.05	-7.09	308.27	135.75	2.38	384.24	0.00
7.20	315.00	1.38	-6.56	309.04	134.31	2.41	363.28	0.00
7.39	316.00	0.75	-5.77	309.16	132.58	2.43	334.10	0.00
7.47	316.00	8.57	-5.42	308.86	131.86	2.44	324.35	0.00
7.99	318.00	1.36	-1.62	306.80	127.53	2.46	287.90	0.00
8.08	318.00	16.00	1.15	306.65	126.82	2.46	284.39	0.00
8.16	318.00	5.50	2.20	306.66	126.20	2.46	281.96	0.00
8.25	319.00	2.94	2.89	306.75	125.51	2.45	276.06	0.00
8.34	319.00	1.74	3.31	306.80	124.83	2.45	270.13	0.00
8.40	319.00	2.20	3.58	306.83	124.38	2.45	266.15	0.00
9.59	319.00	3.23	6.83	304.02	116.41	2.52	194.66	0.00
10.80	317.00	4.08	10.54	299.17	109.70	2.70	154.91	0.00
12.02	312.00	2.62	15.65	297.98	103.98	2.77	118.53	0.00
13.22	308.00	0.76	19.95	294.44	99.15	2.53	82.15	0.00
14.42	303.00	1.86	21.79	285.99	94.93	2.13	50.22	0.00
15.63	298.00	1.34	21.40	273.58	91.19	1.91	34.94	0.00
16.83	296.00	1.41	21.25	263.88	87.87	1.93	25.38	0.00
18.03	294.00	1.15	22.67	254.58	84.90	1.95	18.07	0.00
19.23	294.00	0.59	24.77	245.80	82.21	1.93	12.88	0.00
20.43	294.00	0.50	27.24	237.54	79.76	1.82	9.18	0.00
21.64	292.00	1.21	29.42	229.76	77.50	1.60	6.53	0.00
22.84	290.00	1.21	30.55	222.57	75.43	1.30	4.66	0.00
24.04	287.00	0.81	30.22	215.89	73.53	1.00	3.32	0.00
25.24	283.00	1.08	28.62	209.68	71.76	0.84	2.37	0.00
26.44	279.00	1.87	27.17	203.93	70.11	0.82	1.69	0.00
