# Distance = 89.5 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.42	35.70	9.10	-0.67	15.59	0.00	2.74	171.08	0.00
1.47	83.30	9.30	-1.45	41.20	0.00	2.89	108.18	0.00
2.11	94.20	10.40	-1.23	49.32	0.00	3.01	79.86	0.00
2.84	97.60	9.10	1.70	54.26	0.00	3.16	59.21	0.00
3.90	101.00	9.10	4.87	58.35	0.00	3.42	48.31	0.00
4.74	105.00	16.70	8.16	63.90	0.00	3.58	42.38	0.00
5.69	106.00	9.10	11.41	68.82	0.00	3.58	32.97	0.00
6.32	108.00	11.50	13.33	70.75	0.00	3.51	28.09	0.00
7.37	110.00	23.00	16.15	73.30	0.00	3.37	21.33	0.00
8.21	112.00	19.70	18.28	73.52	0.00	3.21	16.97	0.00
9.16	113.00	9.10	20.42	74.74	0.00	2.99	13.55	0.00
10.85	114.00	9.10	23.48	74.45	0.00	2.52	7.72	0.00
12.21	114.00	9.10	25.23	71.09	0.00	2.21	4.47	0.00
15.16	114.00	11.20	29.56	65.21	0.00	1.62	1.79	0.00
