# Distance = 8.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.58	23.90	3.87	-0.70	23.24	0.00	4.19	138.13	0.00
1.17	34.70	3.87	-1.41	36.29	0.00	4.32	98.14	0.00
1.75	42.80	3.87	-2.47	44.66	0.00	4.64	72.46	0.00
2.33	51.30	3.87	1.43	50.22	0.00	5.43	56.49	0.00
2.91	57.70	3.87	7.74	53.75	0.00	6.19	43.39	0.00
3.50	67.30	3.87	12.90	57.15	0.00	6.50	35.62	0.00
4.07	75.40	3.87	17.78	60.17	0.00	6.41	28.85	0.00
4.65	79.50	3.87	22.06	62.61	0.00	5.55	21.40	0.00
5.23	82.80	3.87	24.82	63.43	0.00	4.30	14.31	0.00
5.82	85.60	3.87	26.19	62.46	0.00	2.98	9.34	0.00
