# Distance = 80.6 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.39	17.40	30.40	-1.01	12.25	0.00	2.95	99.72	0.00
1.18	46.30	37.10	-2.03	28.97	0.00	3.18	60.72	0.00
1.95	69.10	13.10	-1.98	34.77	0.00	3.37	34.16	0.00
2.74	85.20	6.20	1.58	37.06	0.00	3.55	27.11	0.00
3.53	93.20	6.20	4.14	41.18	0.00	3.70	22.66	0.00
4.30	100.00	12.40	6.42	44.35	0.00	3.82	16.76	0.00
5.09	108.00	6.20	8.67	45.31	0.00	3.89	11.51	0.00
5.87	112.00	6.20	10.78	44.92	0.00	3.93	9.35	0.00
6.40	113.00	24.90	12.18	45.09	0.00	3.97	8.07	0.00
7.44	113.00	15.50	15.15	45.73	0.00	4.02	6.20	0.00
8.21	112.00	13.10	17.58	45.97	0.00	4.04	4.32	0.00
9.00	111.00	26.40	20.21	44.48	0.00	4.03	3.00	0.00
9.72	111.00	19.40	22.93	43.64	0.00	3.99	2.45	0.00
11.79	113.00	12.50	30.07	40.67	0.00	3.13	1.17	0.00
17.63	118.00	14.60	33.96	32.94	0.00	0.00	0.00	0.00
