# Distance = 29.3 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.16	160.00	36.00	-0.23	8.16	119.49	3.82	518.68	16013.38
0.32	177.00	30.90	-0.28	15.81	184.15	3.82	506.93	8275.13
0.49	180.00	25.30	-0.39	23.49	201.67	3.83	494.75	4561.05
0.65	180.00	32.00	-0.44	30.37	207.64	3.84	483.54	2982.73
1.30	182.00	4.72	-0.10	55.54	203.18	3.90	440.58	756.43
1.46	183.00	10.80	0.35	61.19	200.04	3.91	430.61	576.90
1.62	184.00	7.43	0.48	66.66	196.81	3.94	420.86	433.08
3.72	206.00	8.42	4.88	126.58	147.67	4.29	306.99	0.87
3.89	207.00	4.54	5.28	130.77	144.55	4.31	298.59	0.48
4.05	209.00	5.36	5.66	134.75	141.56	4.35	292.84	0.28
4.22	210.00	2.43	6.17	139.22	138.76	4.39	287.93	0.16
4.26	210.00	4.60	6.31	140.31	138.12	4.40	286.74	0.13
4.38	211.00	2.80	6.67	143.71	136.21	4.42	283.35	0.09
4.54	213.00	2.18	7.18	148.57	133.79	4.43	279.25	0.05
4.71	214.00	7.61	7.66	154.18	131.35	4.46	270.79	0.03
4.86	215.00	4.70	8.12	158.86	129.31	4.48	256.86	0.02
5.02	215.00	2.34	8.62	163.14	127.24	4.49	237.64	0.01
5.18	216.00	2.95	9.08	166.42	125.27	4.50	218.48	0.01
5.35	217.00	4.48	9.56	169.18	123.26	4.51	199.62	0.00
5.51	217.00	3.99	10.03	171.03	121.46	4.54	181.42	0.00
5.68	218.00	5.14	10.52	172.14	119.61	4.55	164.50	0.00
5.84	218.00	2.51	11.12	172.81	117.97	4.55	152.47	0.00
6.00	219.00	3.95	11.56	173.33	116.40	4.56	142.65	0.00
6.15	219.00	7.84	12.01	173.85	114.95	4.57	135.36	0.00
6.48	219.00	7.74	13.07	174.75	111.99	4.59	116.10	0.00
6.64	219.00	6.69	13.57	174.93	110.63	4.58	107.44	0.00
6.81	220.00	6.26	14.07	174.96	109.24	4.58	98.51	0.00
7.10	220.00	2.52	14.95	174.39	106.99	4.56	83.02	0.00
7.13	220.00	11.40	15.04	174.28	106.76	4.56	81.44	0.00
8.52	220.00	2.93	19.31	162.50	97.67	4.42	43.01	0.00
10.66	225.00	1.79	24.79	150.21	87.32	3.90	25.24	0.00
11.99	228.00	5.71	27.40	144.67	82.33	3.54	18.72	0.00
12.10	228.00	9.96	27.61	144.25	81.96	3.51	18.23	0.00
12.33	228.00	8.24	28.03	143.39	81.19	3.45	17.23	0.00
12.78	229.00	1.74	28.90	141.73	79.75	3.31	15.41	0.00
14.93	228.00	1.64	31.98	133.67	73.78	2.62	8.47	0.00
17.08	226.00	1.34	33.70	125.60	68.98	1.98	4.77	0.00
19.23	226.00	1.39	34.33	118.35	65.01	1.43	2.41	0.00
21.27	227.00	1.11	34.11	111.61	61.81	1.03	1.43	0.00
23.42	227.00	1.37	33.21	105.71	58.91	0.71	0.78	0.00
25.57	224.00	2.79	31.90	100.47	56.38	0.54	0.43	0.00
27.72	218.00	9.41	30.92	95.88	54.15	0.43	0.24	0.00
29.87	215.00	8.18	30.23	91.86	52.16	0.37	0.13	0.00
32.02	219.00	5.06	30.21	88.33	50.38	0.34	0.07	0.00
34.05	211.00	7.05	33.74	85.30	48.86	0.30	0.00	0.00
