# Distance = 8.43 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SDgas	SDdisk	SDbul	
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.61	47.30	2.77	3.84	32.30	0.00	8.92	134.85	0.00
1.22	70.40	3.27	7.97	39.51	0.00	8.65	40.41	0.00
1.84	83.70	2.50	12.06	37.66	0.00	7.93	17.49	0.00
2.45	89.10	2.45	15.24	36.90	0.00	6.63	13.95	0.00
3.07	91.70	2.48	17.37	36.39	0.00	5.45	7.97	0.00
3.68	95.10	3.01	18.67	35.10	0.00	4.47	5.46	0.00
4.30	96.90	3.62	19.58	34.51	0.00	3.76	4.19	0.00
4.91	100.00	3.90	20.66	33.60	0.00	3.33	2.47	0.00
5.52	103.00	4.82	21.80	32.45	0.00	2.70	1.97	0.00
6.13	106.00	4.97	22.43	32.64	0.00	2.11	0.00	0.00
